List,dec
text+button,16.7%
popup_with_access,0.0%
text_only,10.0%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,2.9%
advertisement+button,85.0%
image_list,66.7%
popup_date,0.0%
movie,6.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,15.0%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,22.9%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,32.5%
camera,0.0%
picture,0.0%
popup,10.0%
navigation_menu,6.7%
input_form,6.7%
select_dialog,0.0%
calendar,90.0%
text_image,6.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,29.6%
