List,dec
text+button,22.2%
popup_with_access,3.3%
text_only,3.3%
open_with,0.0%
text_empty,3.3%
share_with,94.2%
list+on_off,65.7%
advertisement+button,25.0%
image_list,66.7%
popup_date,0.0%
movie,36.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,6.7%
translate,52.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,28.6%
pinpoint_location,76.7%
popup_with_continue_as_name,65.7%
list,32.5%
camera,2.5%
picture,6.7%
popup,6.7%
navigation_menu,2.2%
input_form,0.0%
select_dialog,56.7%
calendar,90.0%
text_image,6.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,30.5%
