List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,6.7%
open_with,55.6%
text_empty,6.7%
share_with,94.2%
list+on_off,91.4%
advertisement+button,57.5%
image_list,44.4%
popup_date,0.0%
movie,6.7%
menu_list,2.9%
translate_with_sound,100.0%
IME,0.0%
dialer,0.0%
translate,36.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,30.0%
camera,12.5%
picture,6.7%
popup,3.3%
navigation_menu,11.1%
input_form,6.7%
select_dialog,60.0%
calendar,0.0%
text_image,3.3%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,27.0%
