List,dec
text+button,5.6%
popup_with_access,83.3%
text_only,10.0%
open_with,80.0%
text_empty,30.0%
share_with,80.8%
list+on_off,94.3%
advertisement+button,75.0%
image_list,2.2%
popup_date,33.3%
movie,16.7%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,11.4%
pinpoint_location,0.0%
popup_with_continue_as_name,77.1%
list,2.5%
camera,92.5%
picture,0.0%
popup,3.3%
navigation_menu,2.2%
input_form,3.3%
select_dialog,16.7%
calendar,6.7%
text_image,3.3%
continue_button,11.9%
theme,77.3%
homescreen,0.0%
Total,33.5%
