List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,6.7%
open_with,2.2%
text_empty,3.3%
share_with,46.2%
list+on_off,91.4%
advertisement+button,0.0%
image_list,57.8%
popup_date,0.0%
movie,10.0%
menu_list,80.0%
translate_with_sound,0.0%
IME,10.0%
dialer,26.7%
translate,0.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,8.6%
list,25.0%
camera,22.5%
picture,46.7%
popup,0.0%
navigation_menu,2.2%
input_form,3.3%
select_dialog,53.3%
calendar,0.0%
text_image,0.0%
continue_button,2.4%
theme,72.7%
homescreen,0.0%
Total,19.5%
