List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,26.7%
open_with,2.2%
text_empty,3.3%
share_with,1.9%
list+on_off,2.9%
advertisement+button,92.5%
image_list,22.2%
popup_date,50.0%
movie,43.3%
menu_list,42.9%
translate_with_sound,0.0%
IME,10.0%
dialer,20.0%
translate,4.0%
image_view,5.0%
location_selection,6.7%
continue_as_name,75.0%
popup_with_full_screen,28.6%
pinpoint_location,0.0%
popup_with_continue_as_name,0.0%
list,10.0%
camera,35.0%
picture,0.0%
popup,3.3%
navigation_menu,2.2%
input_form,36.7%
select_dialog,30.0%
calendar,0.0%
text_image,6.7%
continue_button,2.4%
theme,18.2%
homescreen,20.0%
Total,18.9%
