List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,16.7%
open_with,64.4%
text_empty,20.0%
share_with,65.4%
list+on_off,91.4%
advertisement+button,25.0%
image_list,28.9%
popup_date,33.3%
movie,40.0%
menu_list,42.9%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,92.0%
image_view,10.0%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,2.5%
camera,57.5%
picture,93.3%
popup,3.3%
navigation_menu,13.3%
input_form,33.3%
select_dialog,0.0%
calendar,83.3%
text_image,3.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,27.7%
