List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,3.3%
open_with,2.2%
text_empty,23.3%
share_with,94.2%
list+on_off,91.4%
advertisement+button,27.5%
image_list,66.7%
popup_date,0.0%
movie,6.7%
menu_list,0.0%
translate_with_sound,100.0%
IME,0.0%
dialer,0.0%
translate,0.0%
image_view,7.5%
location_selection,16.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,30.0%
camera,12.5%
picture,13.3%
popup,3.3%
navigation_menu,4.4%
input_form,3.3%
select_dialog,3.3%
calendar,0.0%
text_image,6.7%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,24.8%
