List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,23.3%
open_with,0.0%
text_empty,40.0%
share_with,94.2%
list+on_off,37.1%
advertisement+button,85.0%
image_list,0.0%
popup_date,66.7%
movie,63.3%
menu_list,0.0%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,0.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,80.0%
popup_with_continue_as_name,0.0%
list,80.0%
camera,0.0%
picture,53.3%
popup,13.3%
navigation_menu,8.9%
input_form,36.7%
select_dialog,50.0%
calendar,63.3%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,29.7%
