name,0,1,2,3,4,5,6,7,8,9,Mean,Std
rico_23,0.259,,,,,,,,,,0.259,0.0
seq2seq_23,0.291,0.278,0.279,0.307,0.284,0.256,0.277,0.251,0.301,0.298,0.2822,0.017359723500102175
transformer_23,0.259,0.292,0.312,0.305,0.285,0.302,0.251,0.294,0.341,0.282,0.2923,0.024478766308782807
transformer_mean_23,0.282,0.303,0.342,0.323,0.347,0.315,0.317,0.284,0.333,0.302,0.3148,0.021231109250343008
conv_se_23,0.362,0.343,0.335,0.254,0.307,0.335,0.332,0.287,0.349,0.325,0.3229,0.030467851909840974
conv_re_23,0.212,0.108,0.155,0.191,0.193,0.126,0.171,0.174,0.175,0.206,0.17109999999999997,0.031725226555534634
rico_23_seq2seq_23_add,0.376,0.319,0.347,0.303,0.32,0.346,0.33,0.307,0.326,0.354,0.33280000000000004,0.021572204337990123
rico_23_transformer_23_add,0.313,0.314,0.349,0.296,0.345,0.308,0.343,0.311,0.348,0.271,0.3198,0.02462843884617942
rico_23_transformer_mean_23_add,0.312,0.313,0.319,0.319,0.356,0.346,0.339,0.334,0.313,0.361,0.33120000000000005,0.017662389419328284
conv_re_23_conv_se_23_add,0.251,0.221,0.287,0.276,0.245,0.199,0.242,0.345,0.244,0.243,0.25529999999999997,0.03795536852673149
rico_23_seq2seq_23_cat,0.313,0.36,0.339,0.32,0.31,0.287,0.334,0.233,0.333,0.343,0.31720000000000004,0.03403468818720101
rico_23_transformer_23_cat,0.383,0.336,0.327,0.337,0.352,0.326,0.334,0.285,0.347,0.295,0.3322,0.02628611800932196
rico_23_transformer_mean_23_cat,0.34,0.301,0.325,0.371,0.377,0.298,0.363,0.33,0.38,0.36,0.3445,0.0287515216988597
conv_re_23_conv_se_23_cat,0.275,0.213,0.26,0.305,0.214,0.185,0.267,0.302,0.237,0.215,0.2473,0.038670531416053755
rico_23_conv_se_23_add,0.334,0.333,0.321,0.258,0.347,0.338,0.377,0.309,0.326,0.348,0.3291,0.029368180059377188
seq2seq_23_conv_se_23_add,0.346,0.361,0.339,0.246,0.335,0.355,0.336,0.314,0.32,0.374,0.3326,0.033562479050272785
transformer_23_conv_se_23_add,0.338,0.348,0.323,0.257,0.309,0.348,0.365,0.329,0.319,0.361,0.32970000000000005,0.029728942127159513
transformer_mean_23_conv_se_23_add,0.346,0.347,0.323,0.258,0.274,0.348,0.365,0.329,0.316,0.361,0.32670000000000005,0.03392948570196724
rico_23_conv_se_23_cat,0.326,0.345,0.326,0.266,0.273,0.338,0.336,0.309,0.316,0.36,0.3195,0.028524550829066523
seq2seq_23_conv_se_23_cat,0.326,0.346,0.326,0.266,0.273,0.338,0.336,0.309,0.316,0.36,0.3196,0.02861538047973501
transformer_23_conv_se_23_cat,0.326,0.345,0.326,0.266,0.273,0.338,0.336,0.309,0.316,0.36,0.3195,0.028524550829066523
transformer_mean_23_conv_se_23_cat,0.326,0.345,0.326,0.266,0.273,0.338,0.336,0.309,0.316,0.36,0.3195,0.028524550829066523
rico_23_conv_re_23_add,0.221,0.151,0.172,0.178,0.188,0.187,0.155,0.189,0.162,0.175,0.1778,0.019260321908005588
seq2seq_23_conv_re_23_add,0.216,0.148,0.188,0.214,0.181,0.18,0.155,0.187,0.158,0.171,0.17980000000000002,0.021862296311229525
transformer_23_conv_re_23_add,0.226,0.151,0.189,0.176,0.186,0.19,0.155,0.203,0.173,0.171,0.182,0.021057065322594222
transformer_mean_23_conv_re_23_add,0.226,0.151,0.202,0.178,0.129,0.187,0.155,0.199,0.173,0.17,0.177,0.02672077843177478
rico_23_conv_re_23_cat,0.226,0.151,0.188,0.178,0.129,0.187,0.155,0.199,0.168,0.111,0.1692,0.032248410813557934
seq2seq_23_conv_re_23_cat,0.226,0.151,0.172,0.178,0.182,0.187,0.155,0.199,0.168,0.111,0.1729,0.02909450119868014
transformer_23_conv_re_23_cat,0.226,0.151,0.188,0.178,0.129,0.187,0.155,0.199,0.168,0.111,0.1692,0.032248410813557934
transformer_mean_23_conv_re_23_cat,0.226,0.151,0.188,0.178,0.174,0.187,0.155,0.199,0.168,0.111,0.1737,0.029332746206245333
rico_23_seq2seq_23_add_0.1,0.294,0.261,0.272,0.271,0.277,0.259,0.288,0.278,0.308,0.325,0.2833,0.01979924240974891
