name,0,1,2,3,4,5,6,7,8,9,Mean,Std
rico_23,0.259,,,,,,,,,,0.259,0.0
seq2seq_23,0.291,0.278,0.279,0.307,0.284,0.256,0.277,0.251,0.301,0.298,0.2822,0.017359723500102175
seq2seq_tree_23,0.355,0.401,0.38,0.394,0.411,0.393,0.361,0.373,0.4,0.397,0.3865,0.017517134468856495
conv_se_23,0.362,0.343,0.335,0.254,0.307,0.335,0.332,0.287,0.349,0.325,0.3229,0.030467851909840974
conv_re_23,0.212,0.108,0.155,0.191,0.193,0.126,0.171,0.174,0.175,0.206,0.17109999999999997,0.031725226555534634
rico_23_seq2seq_23_add,0.376,0.319,0.347,0.303,0.32,0.346,0.33,0.307,0.326,0.354,0.33280000000000004,0.021572204337990123
rico_23_seq2seq_23_cat,0.313,0.36,0.339,0.32,0.31,0.287,0.334,0.233,0.333,0.343,0.31720000000000004,0.03403468818720101
rico_23_seq2seq_tree_23_add,0.406,0.426,0.404,0.446,0.469,0.426,0.45,0.456,0.444,0.353,0.42800000000000005,0.031971862629505965
rico_23_seq2seq_tree_23_cat,0.424,0.44,0.431,0.456,0.455,0.424,0.471,0.462,0.463,0.464,0.449,0.01677498137107759
conv_re_23_conv_se_23_add,0.251,0.221,0.287,0.276,0.245,0.199,0.242,0.345,0.244,0.243,0.25529999999999997,0.03795536852673149
conv_re_23_conv_se_23_cat,0.275,0.213,0.26,0.305,0.214,0.185,0.267,0.302,0.237,0.215,0.2473,0.038670531416053755
rico_23_conv_se_23_add,0.334,0.333,0.321,0.258,0.347,0.338,0.377,0.309,0.326,0.348,0.3291,0.029368180059377188
rico_23_conv_se_23_cat,0.326,0.345,0.326,0.266,0.273,0.338,0.336,0.309,0.316,0.36,0.3195,0.028524550829066523
seq2seq_23_conv_se_23_add,0.346,0.361,0.339,0.246,0.335,0.355,0.336,0.314,0.32,0.374,0.3326,0.033562479050272785
seq2seq_23_conv_se_23_cat,0.326,0.346,0.326,0.266,0.273,0.338,0.336,0.309,0.316,0.36,0.3196,0.02861538047973501
seq2seq_tree_23_conv_se_23_add,0.339,0.345,0.314,0.248,0.328,0.336,0.367,0.315,0.319,0.376,0.3287,0.033376788341600516
seq2seq_tree_23_conv_se_23_cat,0.326,0.345,0.326,0.266,0.274,0.338,0.336,0.309,0.316,0.361,0.3197,0.02850631508981825
rico_23_conv_re_23_add,0.221,0.151,0.172,0.178,0.188,0.187,0.155,0.189,0.162,0.175,0.1778,0.019260321908005588
rico_23_conv_re_23_cat,0.226,0.151,0.188,0.178,0.129,0.187,0.155,0.199,0.168,0.111,0.1692,0.032248410813557934
seq2seq_23_conv_re_23_add,0.216,0.148,0.188,0.214,0.181,0.18,0.155,0.187,0.158,0.171,0.17980000000000002,0.021862296311229525
seq2seq_23_conv_re_23_cat,0.226,0.151,0.172,0.178,0.182,0.187,0.155,0.199,0.168,0.111,0.1729,0.02909450119868014
seq2seq_tree_23_conv_re_23_add,0.211,0.151,0.18,0.188,0.141,0.189,0.155,0.16,0.183,0.167,0.17250000000000001,0.02026943511793064
seq2seq_tree_23_conv_re_23_cat,0.226,0.151,0.172,0.179,0.129,0.187,0.155,0.199,0.168,0.164,0.173,0.025628109567426158
rico_23_seq2seq_23_add_0.1,0.294,0.261,0.272,0.271,0.277,0.259,0.288,0.278,0.308,0.325,0.2833,0.01979924240974891
rico_23_seq2seq_23_add_0.2,0.267,0.26,0.287,0.285,0.264,0.264,0.272,0.268,0.324,0.32,0.28109999999999996,0.02210633393396562
rico_23_seq2seq_23_add_0.3,0.271,0.264,0.273,0.288,0.255,0.282,0.284,0.259,0.301,0.296,0.2773,0.014697278659670288
rico_23_seq2seq_23_add_0.4,0.321,0.263,0.317,0.279,0.274,0.265,0.297,0.263,0.312,0.32,0.2911,0.023602754076590293
rico_23_seq2seq_23_add_0.5,0.376,0.319,0.347,0.303,0.32,0.346,0.33,0.307,0.326,0.354,0.33280000000000004,0.021572204337990123
rico_23_seq2seq_23_add_0.6,0.378,0.291,0.416,0.321,0.324,0.291,0.372,0.292,0.303,0.368,0.33559999999999995,0.04233957959167758
rico_23_seq2seq_23_add_0.7,0.372,0.292,0.329,0.336,0.317,0.314,0.318,0.371,0.385,0.398,0.3432,0.03376625534464846
