name,0,1,2,3,4,5,6,7,8,9,Mean_ak,Std_ak
rico,0.216,,,,,,,,,,0.216,0.0
seq2seq,0.295,0.271,0.281,0.309,0.285,0.262,0.278,0.255,0.305,0.318,0.28590000000000004,0.01961351574807535
tree,0.39,0.387,0.386,0.377,0.381,0.4,0.395,0.395,0.386,0.365,0.3862,0.00960000000000001
conv_se,0.361,0.351,0.295,0.236,0.322,0.339,0.325,0.34,0.326,0.357,0.3252,0.03499657126062495
conv_re,0.215,0.151,0.169,0.177,0.174,0.162,0.155,0.188,0.16,0.206,0.17569999999999997,0.02033740396412482
rico_seq2seq_add,0.347,0.293,0.354,0.324,0.294,0.294,0.312,0.267,0.331,0.395,0.3211,0.035480839899867084
rico_seq2seq_cat,0.335,0.319,0.362,0.337,0.299,0.28,0.31,0.306,0.346,0.367,0.3261,0.026699999999999995
rico_tree_add,0.418,0.449,0.433,0.444,0.452,0.422,0.477,0.424,0.453,0.431,0.44029999999999997,0.01723977958095753
rico_tree_cat,0.459,0.418,0.419,0.453,0.444,0.449,0.41,0.421,0.456,0.443,0.4372,0.017319353336657822
conv_re_conv_se_add,0.276,0.2,0.314,0.276,0.237,0.168,0.232,0.295,0.243,0.245,0.2486,0.04152637715958376
conv_re_conv_se_cat,0.269,0.225,0.294,0.278,0.23,0.183,0.244,0.29,0.257,0.243,0.25129999999999997,0.03211245864146811
rico_conv_se_add,0.326,0.337,0.309,0.264,0.316,0.319,0.359,0.343,0.368,0.357,0.3298,0.028916431315084503
rico_conv_se_cat,0.356,0.337,0.309,0.264,0.32,0.341,0.358,0.343,0.327,0.339,0.3294,0.026043041297052844
seq2seq_conv_se_add,0.369,0.321,0.294,0.283,0.316,0.313,0.36,0.323,0.328,0.355,0.32619999999999993,0.026505848411246907
seq2seq_conv_se_cat,0.356,0.343,0.309,0.264,0.32,0.341,0.358,0.345,0.32,0.354,0.331,0.02745541840875858
tree_conv_se_add,0.354,0.338,0.308,0.222,0.324,0.319,0.335,0.352,0.276,0.36,0.31880000000000003,0.04001949524919073
tree_conv_se_cat,0.356,0.337,0.309,0.264,0.32,0.341,0.358,0.345,0.32,0.354,0.33039999999999997,0.027251421981247134
rico_conv_re_add,0.191,0.097,0.194,0.193,0.178,0.118,0.203,0.16,0.164,0.147,0.16449999999999998,0.03330840734709482
rico_conv_re_cat,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
seq2seq_conv_re_add,0.223,0.097,0.163,0.196,0.188,0.118,0.208,0.171,0.159,0.194,0.17170000000000002,0.03742205232212686
seq2seq_conv_re_cat,0.222,0.097,0.184,0.192,0.19,0.118,0.149,0.187,0.181,0.197,0.17170000000000002,0.036562412393057436
tree_conv_re_add,0.191,0.107,0.148,0.173,0.203,0.118,0.202,0.175,0.184,0.177,0.1678,0.0315303028846854
tree_conv_re_cat,0.222,0.097,0.184,0.188,0.19,0.118,0.149,0.157,0.181,0.198,0.1684,0.0362579646422686
rico_seq2seq_add_0.1,0.299,0.263,0.252,0.307,0.27,0.272,0.288,0.254,0.288,0.311,0.2804,0.020224737328331355
rico_seq2seq_add_0.2,0.284,0.273,0.282,0.287,0.291,0.261,0.3,0.266,0.305,0.323,0.2872,0.017752746266423116
rico_seq2seq_add_0.3,0.301,0.293,0.291,0.278,0.283,0.258,0.296,0.262,0.331,0.292,0.2885,0.0195716631894175
rico_seq2seq_add_0.4,0.313,0.309,0.276,0.315,0.331,0.268,0.309,0.288,0.334,0.339,0.3082,0.02294689521482155
rico_seq2seq_add_0.5,0.347,0.293,0.354,0.324,0.294,0.294,0.312,0.267,0.331,0.395,0.3211,0.035480839899867084
rico_seq2seq_add_0.6,0.338,0.312,0.376,0.305,0.345,0.318,0.333,0.305,0.348,0.384,0.3364,0.02638636011275523
rico_seq2seq_add_0.7,0.359,0.342,0.354,0.33,0.295,0.346,0.351,0.316,0.39,0.346,0.34290000000000004,0.024229940156756478
rico_seq2seq_add_0.8,0.325,0.298,0.352,0.288,0.327,0.361,0.3,0.361,0.364,0.363,0.3339,0.028672111885942413
rico_seq2seq_add_0.9,0.268,0.286,0.222,0.284,0.24,0.289,0.258,0.251,0.246,0.281,0.2625,0.02158819121649611
rico_seq2seq_cat_0.1,0.285,0.281,0.28,0.293,0.293,0.254,0.296,0.252,0.305,0.323,0.2862,0.020419598428960347
rico_seq2seq_cat_0.2,0.296,0.287,0.283,0.29,0.273,0.276,0.293,0.23,0.314,0.315,0.28569999999999995,0.022812496575342203
rico_seq2seq_cat_0.3,0.307,0.283,0.29,0.311,0.292,0.274,0.283,0.265,0.319,0.303,0.2927,0.016279127740760558
rico_seq2seq_cat_0.4,0.285,0.311,0.307,0.297,0.296,0.264,0.301,0.265,0.31,0.324,0.296,0.018595698427324527
rico_seq2seq_cat_0.5,0.335,0.319,0.362,0.337,0.299,0.28,0.31,0.306,0.346,0.367,0.3261,0.026699999999999995
rico_seq2seq_cat_0.6,0.37,0.326,0.367,0.313,0.323,0.363,0.356,0.314,0.414,0.37,0.3516,0.030552250326285287
rico_seq2seq_cat_0.7,0.372,0.346,0.313,0.359,0.36,0.316,0.348,0.363,0.354,0.37,0.35009999999999997,0.01948050307358616
rico_seq2seq_cat_0.8,0.363,0.312,0.353,0.343,0.312,0.316,0.283,0.306,0.284,0.339,0.3211,0.026116852796613924
rico_seq2seq_cat_0.9,0.261,0.268,0.287,0.264,0.226,0.233,0.268,0.28,0.265,0.29,0.26420000000000005,0.01976765034089787
rico_tree_add_0.1,0.395,0.384,0.383,0.398,0.397,0.383,0.39,0.404,0.401,0.377,0.3912,0.008623224454924047
rico_tree_add_0.2,0.394,0.384,0.384,0.378,0.402,0.397,0.398,0.389,0.397,0.389,0.3912000000000001,0.007249827584156749
rico_tree_add_0.3,0.402,0.379,0.381,0.368,0.407,0.397,0.399,0.395,0.398,0.392,0.3918,0.011443775600735975
rico_tree_add_0.4,0.391,0.433,0.422,0.397,0.384,0.415,0.399,0.406,0.405,0.4,0.40520000000000006,0.013912584231550937
rico_tree_add_0.5,0.418,0.449,0.433,0.444,0.452,0.422,0.477,0.424,0.453,0.431,0.44029999999999997,0.01723977958095753
rico_tree_add_0.6,0.41,0.454,0.464,0.464,0.453,0.42,0.425,0.397,0.429,0.431,0.4347,0.021936499264923758
rico_tree_add_0.7,0.395,0.418,0.418,0.421,0.389,0.423,0.391,0.374,0.411,0.43,0.40700000000000003,0.017469974241537956
rico_tree_add_0.8,0.308,0.381,0.374,0.333,0.345,0.328,0.356,0.339,0.285,0.28,0.3329,0.032337130361242625
rico_tree_add_0.9,0.288,0.216,0.309,0.278,0.268,0.275,0.295,0.279,0.228,0.302,0.2738,0.028641927309453183
rico_tree_cat_0.1,0.397,0.372,0.382,0.397,0.397,0.384,0.39,0.385,0.405,0.376,0.3885,0.009972462083156806
rico_tree_cat_0.2,0.404,0.385,0.386,0.398,0.405,0.396,0.384,0.384,0.404,0.375,0.3921,0.010054352291420873
rico_tree_cat_0.3,0.398,0.389,0.383,0.403,0.397,0.401,0.393,0.399,0.397,0.391,0.39510000000000006,0.0057697486947006675
rico_tree_cat_0.4,0.384,0.441,0.372,0.4,0.399,0.401,0.383,0.38,0.424,0.393,0.39770000000000005,0.01996021041973255
rico_tree_cat_0.5,0.459,0.418,0.419,0.453,0.444,0.449,0.41,0.421,0.456,0.443,0.4372,0.017319353336657822
rico_tree_cat_0.6,0.404,0.423,0.426,0.429,0.422,0.422,0.468,0.405,0.434,0.417,0.425,0.016952875862224676
rico_tree_cat_0.7,0.419,0.384,0.377,0.391,0.4,0.42,0.389,0.38,0.434,0.396,0.399,0.018193405398660246
rico_tree_cat_0.8,0.332,0.352,0.327,0.355,0.374,0.347,0.358,0.348,0.349,0.344,0.3485999999999999,0.01245953450173801
rico_tree_cat_0.9,0.275,0.275,0.294,0.251,0.242,0.263,0.288,0.249,0.252,0.235,0.2624,0.018858419870180002
conv_re_conv_se_add_0.1,0.338,0.324,0.303,0.276,0.324,0.343,0.367,0.352,0.329,0.366,0.33220000000000005,0.026554848898082618
conv_re_conv_se_add_0.2,0.368,0.266,0.331,0.261,0.285,0.291,0.314,0.327,0.336,0.362,0.31409999999999993,0.035559668164930905
