name,0,1,2,3,4,5,6,7,8,9,Mean_ak,Std_ak
rico,0.278,,,,,,,,,,0.278,0.0
seq2seq,0.342,0.309,0.321,0.29,0.306,0.266,0.296,0.307,0.337,0.364,0.31379999999999997,0.026839523095614052
transformer,0.364,0.325,0.353,0.316,0.347,0.348,0.33,0.3,0.367,0.282,0.3332,0.026437851652507623
transformer_mean,0.292,0.339,0.374,0.287,0.349,0.356,0.335,0.353,0.336,0.35,0.33709999999999996,0.026139816372729174
conv_se,0.386,0.339,0.332,0.294,0.342,0.372,0.351,0.367,0.331,0.382,0.3496,0.02664282267328295
conv_re,0.258,0.123,0.219,0.252,0.228,0.167,0.214,0.203,0.22,0.236,0.21200000000000002,0.038330144794926094
rico_seq2seq_add,0.371,0.323,0.366,0.306,0.355,0.327,0.328,0.296,0.383,0.392,0.34469999999999995,0.03144534941768019
rico_transformer_add,0.373,0.346,0.347,0.375,0.34,0.344,0.368,0.401,0.432,0.323,0.3649,0.0307780766130699
rico_transformer_mean_add,0.352,0.354,0.393,0.382,0.385,0.372,0.353,0.37,0.39,0.406,0.37570000000000003,0.017725969649077047
conv_re_conv_se_add,0.341,0.269,0.325,0.296,0.312,0.268,0.299,0.319,0.25,0.301,0.29800000000000004,0.026970354094820483
rico_seq2seq_cat,0.417,0.312,0.351,0.334,0.355,0.309,0.345,0.312,0.376,0.365,0.3476,0.031950586849070546
rico_transformer_cat,0.365,0.359,0.395,0.379,0.407,0.367,0.397,0.341,0.384,0.327,0.37210000000000004,0.0240850576084011
rico_transformer_mean_cat,0.378,0.382,0.387,0.394,0.388,0.342,0.352,0.341,0.4,0.41,0.3774,0.023018253626198488
conv_re_conv_se_cat,0.319,0.235,0.325,0.327,0.292,0.274,0.282,0.318,0.296,0.285,0.2953,0.02710737906917599
rico_conv_se_add,0.395,0.353,0.332,0.278,0.369,0.354,0.357,0.33,0.32,0.376,0.34639999999999993,0.03132794279872203
seq2seq_conv_se_add,0.357,0.335,0.336,0.276,0.321,0.362,0.343,0.33,0.332,0.38,0.3372,0.02639242315514056
transformer_conv_se_add,0.365,0.373,0.327,0.278,0.359,0.359,0.359,0.33,0.365,0.415,0.35300000000000004,0.033867388443752186
transformer_mean_conv_se_add,0.365,0.372,0.354,0.272,0.359,0.369,0.357,0.345,0.336,0.359,0.3488,0.027545598559479505
rico_conv_se_cat,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.3361,0.026349383294490963
seq2seq_conv_se_cat,0.365,0.358,0.323,0.277,0.348,0.382,0.359,0.33,0.322,0.377,0.34409999999999996,0.0300348131340949
transformer_conv_se_cat,0.365,0.358,0.362,0.277,0.314,0.354,0.35,0.33,0.318,0.359,0.33870000000000006,0.027022398117117572
transformer_mean_conv_se_cat,0.365,0.358,0.332,0.279,0.314,0.354,0.35,0.33,0.349,0.359,0.3390000000000001,0.0249759884689275
rico_conv_re_add,0.247,0.146,0.213,0.239,0.234,0.163,0.227,0.207,0.198,0.209,0.2083,0.03084493475434824
seq2seq_conv_re_add,0.246,0.161,0.211,0.228,0.21,0.179,0.221,0.197,0.197,0.257,0.21070000000000003,0.027651582233210455
transformer_conv_re_add,0.249,0.135,0.21,0.222,0.225,0.209,0.213,0.159,0.204,0.222,0.2048,0.03167901513620649
transformer_mean_conv_re_add,0.247,0.167,0.211,0.224,0.239,0.181,0.213,0.224,0.204,0.209,0.21190000000000003,0.023028026402625128
rico_conv_re_cat,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.224,0.198,0.223,0.21600000000000003,0.03224592997573492
seq2seq_conv_re_cat,0.271,0.135,0.21,0.226,0.225,0.22,0.227,0.206,0.198,0.223,0.2141,0.032213196053791374
transformer_conv_re_cat,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.23,0.198,0.223,0.2166,0.03244441400302986
transformer_mean_conv_re_cat,0.271,0.135,0.21,0.227,0.225,0.22,0.227,0.23,0.198,0.223,0.2166,0.03244441400302986
rico_seq2seq_add_0.1,0.324,0.292,0.278,0.306,0.284,0.281,0.3,0.273,0.36,0.383,0.3081,0.035126770418015936
