,parameters,ari,simple,types
0,jideca_b02g02re_23,0.333,0.2,real
1,jideca_b10g01re_23,0.308,0.1,real
2,jideca_b02g1re_23,0.305,1,real
3,jideca_b10g02re_23,0.3,0.2,real
4,jideca_b01g01re_23,0.29,0.1,real
5,jideca_b1g01re_23,0.268,0.1,real
6,jideca_b1g05re_23,0.287,0.5,real
7,jideca_b01g02re_23,0.266,0.2,real
8,jideca_b01g05re_23,0.268,0.5,real
9,jideca_b02g05re_23,0.245,0.5,real
10,jideca_b02g01re_23,0.239,0.1,real
11,jideca_b1g1re_23,0.179,1,real
12,jideca_b1g02re_23,0.149,0.2,real
13,jideca_b10g1re_23,0.158,1,real
14,jideca_b01g1re_23,0.159,1,real
15,jideca_b10g05re_23,0.144,0.5,real
16,jideca_b10g10re_23,0.066,10,real
17,jideca_b02g10re_23,0.039,10,real
18,jideca_b01g10re_23,0.013,10,real
19,jideca_b1g10re_23,0.056,10,real
