,parameters,nmi,simple,types
0,jideca_b02g02re_23,0.574,0.2,real
1,jideca_b10g01re_23,0.556,0.1,real
2,jideca_b02g1re_23,0.547,1,real
3,jideca_b10g02re_23,0.545,0.2,real
4,jideca_b1g01re_23,0.528,0.1,real
5,jideca_b1g05re_23,0.538,0.5,real
6,jideca_b01g05re_23,0.534,0.5,real
7,jideca_b01g01re_23,0.528,0.1,real
8,jideca_b01g02re_23,0.51,0.2,real
9,jideca_b02g01re_23,0.511,0.1,real
10,jideca_b02g05re_23,0.491,0.5,real
11,jideca_b1g1re_23,0.442,1,real
12,jideca_b10g05re_23,0.423,0.5,real
13,jideca_b01g1re_23,0.443,1,real
14,jideca_b10g1re_23,0.426,1,real
15,jideca_b1g02re_23,0.431,0.2,real
16,jideca_b10g10re_23,0.266,10,real
17,jideca_b02g10re_23,0.224,10,real
18,jideca_b01g10re_23,0.141,10,real
19,jideca_b1g10re_23,0.284,10,real
