,parameters,purity,simple,types
0,jideca_b01g01re_34,0.293,0.1,real
1,jideca_b01g1re_34,0.332,1,real
2,jideca_b1g10re_34,0.289,10,real
3,jideca_b01g05re_34,0.307,0.5,real
4,jideca_b05g10re_34,0.308,10,real
5,jideca_b1g02re_34,0.292,0.2,real
6,jideca_b05g02re_34,0.239,0.2,real
7,jideca_b01g02re_34,0.257,0.2,real
8,jideca_b1g01re_34,0.258,0.1,real
9,jideca_b05g05re_34,0.24,0.5,real
10,jideca_b1g05re_34,0.283,0.5,real
11,jideca_b05g01re_34,0.29,0.1,real
12,jideca_b1g1re_34,0.223,1,real
13,jideca_b05g1re_34,0.192,1,real
14,jideca_b01g10re_34,0.215,10,real
