name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean_ng,Std_ng
rico,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.0
seq2seq,0.598,0.551,0.569,0.567,0.543,0.544,0.567,0.553,0.577,0.611,0.578,0.59,0.538,0.571,0.59,0.545,0.581,0.567,0.569,0.563,0.542,0.561,0.576,0.565,0.591,0.571,0.557,0.559,0.567,0.558,0.5672999999999999,0.017199127884866695
conv_se,0.627,0.637,0.622,0.613,0.61,0.639,0.634,0.606,0.615,0.629,0.645,0.608,0.613,0.629,0.633,0.627,0.656,0.614,0.629,0.626,0.626,0.635,0.643,0.622,0.618,0.63,0.623,0.652,0.617,0.606,0.6261333333333335,0.01281075936685862
conv_re,0.555,0.476,0.527,0.532,0.522,0.521,0.538,0.503,0.506,0.541,0.516,0.502,0.529,0.525,0.506,0.536,0.481,0.524,0.523,0.524,0.507,0.506,0.479,0.521,0.513,0.524,0.531,0.512,0.504,0.531,0.5171666666666668,0.01779715957361987
rico_seq2seq_add,0.601,0.592,0.605,0.575,0.58,0.572,0.591,0.552,0.622,0.627,0.595,0.611,0.573,0.602,0.593,0.586,0.609,0.591,0.598,0.614,0.578,0.586,0.588,0.595,0.606,0.599,0.602,0.593,0.574,0.596,0.5935333333333334,0.01566255265132589
rico_seq2seq_cat,0.583,0.595,0.606,0.611,0.598,0.572,0.58,0.582,0.606,0.603,0.616,0.607,0.576,0.609,0.585,0.586,0.62,0.601,0.617,0.608,0.6,0.582,0.598,0.593,0.611,0.599,0.596,0.626,0.605,0.583,0.5984666666666667,0.013661950405739628
conv_re_conv_se_add,0.593,0.528,0.576,0.563,0.566,0.536,0.569,0.564,0.579,0.587,0.588,0.56,0.585,0.57,0.561,0.581,0.554,0.564,0.584,0.631,0.587,0.564,0.528,0.573,0.54,0.584,0.568,0.568,0.609,0.553,0.5704333333333335,0.021620489253380806
conv_re_conv_se_cat,0.582,0.544,0.596,0.583,0.569,0.554,0.597,0.583,0.585,0.57,0.599,0.592,0.569,0.569,0.564,0.596,0.567,0.571,0.576,0.632,0.574,0.565,0.542,0.571,0.539,0.589,0.586,0.575,0.618,0.569,0.5775333333333332,0.020004555036846533
rico_conv_se_add,0.639,0.623,0.605,0.59,0.62,0.625,0.62,0.587,0.611,0.635,0.617,0.619,0.612,0.605,0.618,0.624,0.606,0.629,0.621,0.614,0.612,0.637,0.635,0.622,0.62,0.61,0.625,0.636,0.63,0.603,0.6183333333333334,0.012671051872498819
rico_conv_se_cat,0.634,0.621,0.605,0.603,0.637,0.625,0.62,0.609,0.611,0.635,0.616,0.619,0.612,0.643,0.634,0.629,0.606,0.629,0.63,0.615,0.598,0.635,0.644,0.626,0.605,0.609,0.625,0.636,0.628,0.612,0.6216999999999999,0.012556936993816084
seq2seq_conv_se_add,0.642,0.608,0.607,0.59,0.633,0.628,0.626,0.609,0.634,0.62,0.636,0.625,0.615,0.634,0.627,0.631,0.614,0.611,0.63,0.618,0.613,0.609,0.617,0.626,0.616,0.606,0.626,0.634,0.604,0.618,0.6202333333333334,0.0116809912060388
seq2seq_conv_se_cat,0.634,0.621,0.605,0.603,0.637,0.625,0.62,0.609,0.612,0.635,0.616,0.618,0.612,0.644,0.635,0.629,0.606,0.629,0.63,0.615,0.598,0.635,0.644,0.626,0.606,0.609,0.625,0.646,0.628,0.612,0.6221333333333333,0.013081114461526428
rico_conv_re_add,0.534,0.468,0.529,0.516,0.518,0.528,0.516,0.503,0.511,0.531,0.509,0.523,0.527,0.523,0.501,0.539,0.493,0.515,0.525,0.523,0.523,0.516,0.499,0.505,0.518,0.543,0.525,0.535,0.504,0.544,0.5181333333333334,0.015781282865752366
rico_conv_re_cat,0.536,0.484,0.527,0.517,0.525,0.528,0.516,0.527,0.492,0.53,0.517,0.519,0.523,0.516,0.511,0.542,0.493,0.511,0.5,0.516,0.523,0.53,0.5,0.505,0.518,0.544,0.523,0.535,0.504,0.544,0.5185333333333334,0.015043787939064947
seq2seq_conv_re_add,0.539,0.498,0.527,0.531,0.513,0.528,0.539,0.522,0.502,0.528,0.506,0.522,0.523,0.529,0.507,0.535,0.492,0.522,0.5,0.518,0.527,0.518,0.492,0.508,0.525,0.538,0.514,0.53,0.508,0.534,0.5191666666666667,0.013591868484093321
seq2seq_conv_re_cat,0.536,0.469,0.527,0.517,0.525,0.528,0.516,0.502,0.492,0.53,0.506,0.519,0.523,0.521,0.511,0.542,0.493,0.511,0.5,0.52,0.523,0.53,0.5,0.505,0.518,0.544,0.523,0.535,0.504,0.544,0.5171333333333333,0.016676796921338225
rico_seq2seq_add_0.1,0.572,0.551,0.569,0.578,0.558,0.554,0.555,0.535,0.592,0.589,0.592,0.576,0.543,0.581,0.576,0.554,0.591,0.585,0.578,0.582,0.567,0.562,0.562,0.552,0.605,0.576,0.571,0.578,0.569,0.56,0.5704333333333333,0.015857034891667315
rico_seq2seq_add_0.2,0.594,0.576,0.576,0.564,0.571,0.547,0.563,0.559,0.582,0.605,0.595,0.58,0.576,0.573,0.559,0.547,0.595,0.582,0.585,0.555,0.549,0.563,0.578,0.588,0.579,0.564,0.578,0.567,0.587,0.55,0.5729000000000001,0.015162123861781349
rico_seq2seq_add_0.3,0.583,0.555,0.583,0.573,0.573,0.558,0.563,0.565,0.59,0.595,0.589,0.582,0.558,0.587,0.581,0.54,0.598,0.574,0.589,0.557,0.57,0.573,0.586,0.573,0.585,0.595,0.574,0.598,0.559,0.564,0.5756666666666667,0.014411415228522434
rico_seq2seq_add_0.4,0.597,0.563,0.578,0.56,0.574,0.569,0.565,0.577,0.605,0.601,0.591,0.58,0.575,0.602,0.579,0.563,0.58,0.574,0.577,0.594,0.573,0.573,0.595,0.582,0.595,0.567,0.593,0.601,0.597,0.574,0.5818000000000002,0.01311335197422841
rico_seq2seq_add_0.5,0.601,0.592,0.605,0.575,0.58,0.572,0.591,0.552,0.622,0.627,0.595,0.611,0.573,0.602,0.593,0.586,0.609,0.591,0.598,0.614,0.578,0.586,0.588,0.595,0.606,0.599,0.602,0.593,0.574,0.596,0.5935333333333334,0.01566255265132589
rico_seq2seq_add_0.6,0.599,0.583,0.631,0.595,0.584,0.607,0.605,0.593,0.617,0.633,0.599,0.598,0.615,0.61,0.607,0.577,0.61,0.619,0.601,0.625,0.604,0.603,0.603,0.596,0.616,0.61,0.617,0.614,0.598,0.606,0.6058333333333333,0.012829869662453936
rico_seq2seq_add_0.7,0.623,0.625,0.616,0.611,0.611,0.61,0.577,0.602,0.619,0.626,0.621,0.61,0.627,0.615,0.613,0.628,0.613,0.6,0.637,0.615,0.61,0.594,0.618,0.613,0.619,0.625,0.626,0.62,0.633,0.607,0.6154666666666666,0.011811670311838026
rico_seq2seq_add_0.8,0.598,0.604,0.616,0.605,0.597,0.59,0.604,0.589,0.605,0.618,0.599,0.565,0.605,0.595,0.605,0.603,0.61,0.603,0.621,0.618,0.601,0.597,0.606,0.594,0.597,0.594,0.607,0.587,0.588,0.618,0.6013,0.01131709621177919
rico_seq2seq_add_0.9,0.573,0.559,0.596,0.557,0.578,0.599,0.579,0.591,0.585,0.585,0.6,0.59,0.586,0.579,0.584,0.571,0.586,0.561,0.583,0.579,0.581,0.582,0.582,0.579,0.561,0.561,0.579,0.573,0.586,0.574,0.5793,0.011093992368244453
rico_seq2seq_cat_0.1,0.589,0.555,0.568,0.563,0.563,0.554,0.563,0.559,0.578,0.603,0.582,0.586,0.555,0.582,0.573,0.536,0.58,0.562,0.588,0.575,0.555,0.558,0.578,0.575,0.595,0.586,0.565,0.566,0.567,0.56,0.5706333333333332,0.01436542918104276
rico_seq2seq_cat_0.2,0.576,0.552,0.576,0.563,0.577,0.55,0.556,0.541,0.563,0.606,0.594,0.569,0.588,0.585,0.565,0.559,0.604,0.557,0.578,0.593,0.564,0.566,0.582,0.587,0.588,0.591,0.569,0.58,0.586,0.546,0.5736999999999999,0.016571360837299973
rico_seq2seq_cat_0.3,0.608,0.569,0.571,0.584,0.579,0.557,0.572,0.55,0.573,0.594,0.599,0.57,0.558,0.583,0.591,0.569,0.582,0.582,0.594,0.592,0.564,0.573,0.579,0.577,0.587,0.586,0.565,0.592,0.566,0.573,0.5779666666666666,0.013133883237218485
rico_seq2seq_cat_0.4,0.589,0.583,0.577,0.586,0.575,0.552,0.582,0.568,0.581,0.598,0.58,0.575,0.573,0.569,0.591,0.571,0.592,0.6,0.583,0.578,0.573,0.578,0.59,0.568,0.598,0.568,0.586,0.6,0.585,0.572,0.5807,0.01102466930720978
rico_seq2seq_cat_0.5,0.583,0.595,0.606,0.611,0.598,0.572,0.58,0.582,0.606,0.603,0.616,0.607,0.576,0.609,0.585,0.586,0.62,0.601,0.617,0.608,0.6,0.582,0.598,0.593,0.611,0.599,0.596,0.626,0.605,0.583,0.5984666666666667,0.013661950405739628
rico_seq2seq_cat_0.6,0.638,0.599,0.632,0.601,0.609,0.608,0.62,0.589,0.634,0.622,0.624,0.639,0.617,0.605,0.596,0.606,0.625,0.598,0.617,0.609,0.614,0.592,0.626,0.58,0.616,0.612,0.607,0.612,0.619,0.612,0.6126,0.014034718854801962
rico_seq2seq_cat_0.7,0.634,0.645,0.644,0.625,0.619,0.64,0.624,0.634,0.622,0.637,0.615,0.628,0.639,0.606,0.606,0.598,0.635,0.616,0.612,0.614,0.627,0.594,0.62,0.604,0.626,0.637,0.644,0.619,0.621,0.59,0.6224999999999998,0.014822842732305672
rico_seq2seq_cat_0.8,0.615,0.624,0.625,0.603,0.574,0.59,0.608,0.608,0.617,0.615,0.6,0.619,0.612,0.611,0.59,0.624,0.613,0.613,0.593,0.618,0.614,0.588,0.601,0.614,0.636,0.635,0.618,0.605,0.599,0.607,0.6096333333333332,0.013587944002762984
rico_seq2seq_cat_0.9,0.576,0.562,0.567,0.576,0.573,0.563,0.576,0.57,0.583,0.583,0.569,0.554,0.547,0.573,0.577,0.581,0.593,0.579,0.574,0.571,0.581,0.567,0.578,0.586,0.557,0.578,0.586,0.579,0.573,0.589,0.5740333333333332,0.010117586449126846
