name,0,1,2,3,4,5,6,7,8,9,Mean_ng,Std_ng
rico,0.56,,,,,,,,,,0.56,0.0
seq2seq,0.573,0.557,0.583,0.577,0.559,0.547,0.577,0.548,0.585,0.601,0.5707000000000001,0.01661354868774275
transformer,0.598,0.551,0.587,0.559,0.577,0.605,0.579,0.562,0.613,0.546,0.5777,0.0219228191617775
transformer_mean,0.575,0.589,0.608,0.591,0.613,0.577,0.576,0.576,0.587,0.582,0.5873999999999999,0.012831211945876364
conv_se,0.616,0.632,0.611,0.613,0.633,0.649,0.622,0.62,0.625,0.632,0.6253,0.010918333206126299
conv_re,0.541,0.471,0.532,0.525,0.514,0.527,0.537,0.516,0.494,0.555,0.5212,0.022994782016796785
rico_seq2seq_add,0.597,0.595,0.601,0.585,0.593,0.59,0.595,0.587,0.594,0.617,0.5953999999999999,0.008464041587799538
rico_transformer_add,0.6,0.574,0.609,0.612,0.605,0.604,0.593,0.593,0.605,0.583,0.5978,0.011426285485668571
rico_transformer_mean_add,0.605,0.607,0.634,0.622,0.612,0.603,0.592,0.608,0.604,0.616,0.6102999999999998,0.010982258419833336
conv_re_conv_se_add,0.594,0.535,0.577,0.59,0.563,0.537,0.559,0.596,0.573,0.595,0.5719000000000001,0.0218698422490881
rico_seq2seq_cat,0.622,0.597,0.62,0.584,0.585,0.589,0.585,0.588,0.621,0.62,0.6011,0.016410057891427455
rico_transformer_cat,0.623,0.609,0.622,0.6,0.614,0.601,0.605,0.593,0.624,0.592,0.6083,0.01147214016650774
rico_transformer_mean_cat,0.606,0.589,0.622,0.61,0.632,0.623,0.608,0.609,0.64,0.598,0.6136999999999999,0.014717676447048305
conv_re_conv_se_cat,0.609,0.547,0.589,0.579,0.565,0.553,0.576,0.596,0.576,0.604,0.5793999999999999,0.019561186058110056
rico_conv_se_add,0.655,0.63,0.633,0.609,0.657,0.632,0.643,0.641,0.62,0.645,0.6365000000000001,0.014143903280212304
seq2seq_conv_se_add,0.656,0.648,0.614,0.61,0.627,0.625,0.653,0.6,0.618,0.648,0.6298999999999999,0.018939112967612835
transformer_conv_se_add,0.655,0.644,0.633,0.616,0.658,0.637,0.633,0.612,0.61,0.644,0.6342000000000001,0.016160445538412622
transformer_mean_conv_se_add,0.655,0.653,0.632,0.614,0.658,0.637,0.633,0.62,0.61,0.644,0.6355999999999999,0.016243152403397576
rico_conv_se_cat,0.655,0.63,0.649,0.619,0.624,0.641,0.643,0.641,0.624,0.644,0.637,0.011384199576606175
seq2seq_conv_se_cat,0.655,0.653,0.633,0.609,0.64,0.624,0.643,0.641,0.624,0.644,0.6365999999999999,0.013514436725220935
transformer_conv_se_cat,0.655,0.63,0.633,0.619,0.624,0.641,0.643,0.641,0.624,0.644,0.6354,0.010688311372709921
transformer_mean_conv_se_cat,0.655,0.63,0.649,0.619,0.624,0.641,0.643,0.641,0.624,0.644,0.637,0.011384199576606175
rico_conv_re_add,0.538,0.483,0.524,0.528,0.513,0.513,0.529,0.512,0.531,0.526,0.5196999999999999,0.014738046003456509
seq2seq_conv_re_add,0.544,0.484,0.54,0.526,0.504,0.512,0.531,0.522,0.483,0.537,0.5183,0.020933466029303432
transformer_conv_re_add,0.545,0.484,0.524,0.528,0.512,0.512,0.529,0.532,0.529,0.527,0.5222,0.015606408939919537
