name,0,1,2,3,4,5,6,7,8,9,Mean_ng,Std_ng
rico,0.56,,,,,,,,,,0.56,0.0
seq2seq,0.573,0.557,0.583,0.577,0.559,0.547,0.577,0.548,0.585,0.601,0.5707000000000001,0.01661354868774275
tree,0.658,0.669,0.65,0.662,0.657,0.672,0.657,0.674,0.672,0.657,0.6628000000000001,0.007884161337770817
conv_se,0.616,0.632,0.611,0.613,0.633,0.649,0.622,0.62,0.625,0.632,0.6253,0.010918333206126299
conv_re,0.541,0.471,0.532,0.525,0.514,0.527,0.537,0.516,0.494,0.555,0.5212,0.022994782016796785
rico_seq2seq_add,0.597,0.595,0.601,0.585,0.593,0.59,0.595,0.587,0.594,0.617,0.5953999999999999,0.008464041587799538
rico_seq2seq_cat,0.622,0.597,0.62,0.584,0.585,0.589,0.585,0.588,0.621,0.62,0.6011,0.016410057891427455
rico_tree_add,0.657,0.671,0.695,0.67,0.678,0.674,0.689,0.693,0.686,0.675,0.6788,0.01127652428720833
rico_tree_cat,0.661,0.683,0.688,0.663,0.682,0.678,0.689,0.68,0.702,0.668,0.6794,0.01198499061326288
conv_re_conv_se_add,0.594,0.535,0.577,0.59,0.563,0.537,0.559,0.596,0.573,0.595,0.5719000000000001,0.0218698422490881
conv_re_conv_se_cat,0.609,0.547,0.589,0.579,0.565,0.553,0.576,0.596,0.576,0.604,0.5793999999999999,0.019561186058110056
rico_conv_se_add,0.655,0.63,0.633,0.609,0.657,0.632,0.643,0.641,0.62,0.645,0.6365000000000001,0.014143903280212304
rico_conv_se_cat,0.655,0.63,0.649,0.619,0.624,0.641,0.643,0.641,0.624,0.644,0.637,0.011384199576606175
seq2seq_conv_se_add,0.656,0.648,0.614,0.61,0.627,0.625,0.653,0.6,0.618,0.648,0.6298999999999999,0.018939112967612835
seq2seq_conv_se_cat,0.655,0.653,0.633,0.609,0.64,0.624,0.643,0.641,0.624,0.644,0.6365999999999999,0.013514436725220935
tree_conv_se_add,0.655,0.621,0.65,0.602,0.643,0.643,0.652,0.641,0.621,0.647,0.6375,0.016249615380063632
tree_conv_se_cat,0.655,0.632,0.633,0.612,0.639,0.624,0.643,0.641,0.624,0.644,0.6347,0.011747765745025743
rico_conv_re_add,0.538,0.483,0.524,0.528,0.513,0.513,0.529,0.512,0.531,0.526,0.5196999999999999,0.014738046003456509
rico_conv_re_cat,0.542,0.481,0.526,0.521,0.514,0.512,0.529,0.527,0.53,0.527,0.5209,0.015533512159199556
seq2seq_conv_re_add,0.544,0.484,0.54,0.526,0.504,0.512,0.531,0.522,0.483,0.537,0.5183,0.020933466029303432
seq2seq_conv_re_cat,0.542,0.481,0.546,0.522,0.514,0.512,0.529,0.531,0.53,0.543,0.5250000000000001,0.0183466618217048
tree_conv_re_add,0.542,0.467,0.541,0.544,0.526,0.513,0.528,0.534,0.511,0.529,0.5235000000000001,0.021666794871415575
tree_conv_re_cat,0.542,0.481,0.545,0.532,0.514,0.512,0.529,0.514,0.531,0.527,0.5226999999999999,0.017572990639046066
rico_seq2seq_add_0.1,0.589,0.572,0.581,0.566,0.573,0.56,0.568,0.555,0.595,0.608,0.5766999999999999,0.015684705926474987
rico_seq2seq_add_0.2,0.591,0.559,0.579,0.582,0.559,0.563,0.564,0.553,0.584,0.603,0.5736999999999999,0.015588778014969593
