name,0,1,2,3,4,5,6,7,8,9,Mean,Std
rico_23,0.543,,,,,,,,,,0.543,0.0
seq2seq_23,0.545,0.536,0.535,0.558,0.531,0.516,0.539,0.513,0.551,0.55,0.5374000000000001,0.013893883546366738
transformer_23,0.545,0.535,0.543,0.558,0.54,0.543,0.531,0.555,0.561,0.536,0.5447000000000001,0.0096648848932618
transformer_mean_23,0.552,0.524,0.565,0.544,0.551,0.562,0.539,0.545,0.563,0.533,0.5478000000000001,0.012812493902437558
conv_se_23,0.614,0.596,0.599,0.551,0.583,0.6,0.599,0.553,0.601,0.59,0.5885999999999999,0.01978484268322594
conv_re_23,0.502,0.398,0.441,0.478,0.478,0.442,0.471,0.463,0.458,0.488,0.4619,0.02796944761699808
rico_23_seq2seq_23_add,0.594,0.559,0.58,0.562,0.565,0.582,0.573,0.553,0.58,0.59,0.5738,0.012975361266646846
rico_23_transformer_23_add,0.559,0.546,0.576,0.552,0.562,0.559,0.562,0.562,0.576,0.527,0.5581,0.013560604706280599
rico_23_transformer_mean_23_add,0.554,0.551,0.572,0.558,0.573,0.574,0.558,0.564,0.561,0.572,0.5637000000000001,0.008112336284942784
conv_re_23_conv_se_23_add,0.532,0.499,0.552,0.547,0.517,0.482,0.511,0.592,0.554,0.529,0.5315000000000001,0.029950792977816134
rico_23_seq2seq_23_cat,0.561,0.586,0.586,0.566,0.556,0.548,0.575,0.504,0.584,0.591,0.5656999999999999,0.02474287776310587
rico_23_transformer_23_cat,0.601,0.561,0.565,0.568,0.562,0.566,0.563,0.556,0.583,0.535,0.5660000000000001,0.016217274740226835
rico_23_transformer_mean_23_cat,0.575,0.554,0.584,0.589,0.6,0.563,0.578,0.568,0.587,0.589,0.5786999999999999,0.013221573280060121
conv_re_23_conv_se_23_cat,0.546,0.494,0.537,0.565,0.502,0.481,0.525,0.567,0.525,0.517,0.5259,0.027259677180773795
rico_23_conv_se_23_add,0.596,0.585,0.602,0.556,0.612,0.604,0.626,0.589,0.588,0.614,0.5972,0.018438004230393257
seq2seq_23_conv_se_23_add,0.605,0.608,0.598,0.56,0.601,0.603,0.592,0.59,0.601,0.626,0.5984,0.015869467539901885
transformer_23_conv_se_23_add,0.603,0.61,0.603,0.562,0.588,0.608,0.619,0.586,0.599,0.616,0.5994,0.01606362350156401
transformer_mean_23_conv_se_23_add,0.605,0.61,0.603,0.556,0.572,0.608,0.619,0.586,0.593,0.616,0.5968,0.019177069640588986
rico_23_conv_se_23_cat,0.603,0.607,0.605,0.555,0.57,0.604,0.603,0.589,0.593,0.615,0.5944,0.017647662734764615
seq2seq_23_conv_se_23_cat,0.603,0.608,0.605,0.555,0.57,0.604,0.603,0.589,0.593,0.615,0.5945,0.01772145592213009
transformer_23_conv_se_23_cat,0.603,0.607,0.605,0.555,0.57,0.604,0.603,0.589,0.593,0.615,0.5944,0.017647662734764615
transformer_mean_23_conv_se_23_cat,0.603,0.607,0.605,0.555,0.57,0.604,0.603,0.589,0.593,0.615,0.5944,0.017647662734764615
rico_23_conv_re_23_add,0.511,0.437,0.463,0.475,0.463,0.48,0.462,0.456,0.45,0.473,0.46699999999999997,0.018899735447883915
seq2seq_23_conv_re_23_add,0.504,0.44,0.471,0.483,0.467,0.475,0.462,0.463,0.44,0.48,0.4685,0.01830437106267243
transformer_23_conv_re_23_add,0.51,0.437,0.47,0.472,0.472,0.479,0.461,0.476,0.455,0.48,0.47119999999999995,0.017904189453868048
transformer_mean_23_conv_re_23_add,0.51,0.437,0.467,0.474,0.455,0.48,0.462,0.472,0.455,0.48,0.4692,0.018508376482014838
rico_23_conv_re_23_cat,0.51,0.437,0.469,0.474,0.454,0.48,0.462,0.474,0.446,0.439,0.46449999999999997,0.020920086041888063
seq2seq_23_conv_re_23_cat,0.51,0.437,0.463,0.474,0.467,0.48,0.462,0.474,0.446,0.439,0.4652,0.0206145579627602
transformer_23_conv_re_23_cat,0.51,0.437,0.469,0.474,0.454,0.48,0.462,0.474,0.446,0.439,0.46449999999999997,0.020920086041888063
transformer_mean_23_conv_re_23_cat,0.51,0.437,0.469,0.474,0.462,0.48,0.462,0.474,0.446,0.439,0.46529999999999994,0.020654539452623966
rico_23_seq2seq_23_add_0.1,0.539,0.526,0.535,0.533,0.524,0.523,0.54,0.531,0.562,0.569,0.5382,0.014797297050475122
rico_23_transformer_23_add_0.1,0.543,0.54,0.542,0.547,0.543,0.554,0.539,0.529,0.571,0.53,0.5438000000000001,0.011426285485668543
rico_23_transformer_mean_23_add_0.1,0.552,0.527,0.571,0.578,0.574,0.582,0.547,0.552,0.561,0.559,0.5603,0.01584960567332825
conv_re_23_conv_se_23_add_0.1,0.596,0.59,0.597,0.572,0.572,0.608,0.602,0.611,0.614,0.592,0.5953999999999999,0.01389388354636674
rico_23_seq2seq_23_add_0.2,0.524,0.528,0.545,0.546,0.521,0.524,0.53,0.527,0.571,0.571,0.5387,0.01803357978882726
rico_23_transformer_23_add_0.2,0.543,0.537,0.572,0.562,0.54,0.552,0.523,0.572,0.566,0.535,0.5502,0.0162591512693621
rico_23_transformer_mean_23_add_0.2,0.572,0.573,0.571,0.571,0.575,0.574,0.541,0.572,0.57,0.571,0.569,0.009444575162494051
conv_re_23_conv_se_23_add_0.2,0.6,0.537,0.585,0.56,0.542,0.542,0.563,0.569,0.6,0.585,0.5682999999999999,0.022423425251285736
rico_23_seq2seq_23_add_0.3,0.528,0.524,0.536,0.538,0.517,0.538,0.537,0.521,0.559,0.55,0.5347999999999999,0.01230284519938377
rico_23_transformer_23_add_0.3,0.542,0.553,0.578,0.577,0.543,0.556,0.561,0.57,0.584,0.546,0.561,0.01467651184716583
rico_23_transformer_mean_23_add_0.3,0.56,0.551,0.602,0.561,0.559,0.584,0.545,0.559,0.575,0.56,0.5656000000000001,0.01600124995117566
conv_re_23_conv_se_23_add_0.3,0.593,0.518,0.565,0.551,0.525,0.514,0.556,0.582,0.557,0.589,0.555,0.027202941017470866
rico_23_seq2seq_23_add_0.4,0.568,0.53,0.561,0.535,0.54,0.53,0.553,0.525,0.57,0.571,0.5483,0.01736692258288725
rico_23_transformer_23_add_0.4,0.562,0.552,0.566,0.567,0.547,0.583,0.55,0.581,0.572,0.558,0.5637999999999999,0.01181355154049785
rico_23_transformer_mean_23_add_0.4,0.573,0.574,0.584,0.596,0.572,0.583,0.549,0.579,0.564,0.567,0.5741,0.012119818480488877
conv_re_23_conv_se_23_add_0.4,0.526,0.51,0.544,0.541,0.542,0.502,0.535,0.602,0.53,0.549,0.5381000000000001,0.025641567814780743
rico_23_seq2seq_23_add_0.5,0.594,0.559,0.58,0.562,0.565,0.582,0.573,0.553,0.58,0.59,0.5738,0.012975361266646846
rico_23_transformer_23_add_0.5,0.559,0.546,0.576,0.552,0.562,0.559,0.562,0.562,0.576,0.527,0.5581,0.013560604706280599
rico_23_transformer_mean_23_add_0.5,0.554,0.551,0.572,0.558,0.573,0.574,0.558,0.564,0.561,0.572,0.5637000000000001,0.008112336284942784
conv_re_23_conv_se_23_add_0.5,0.532,0.499,0.552,0.547,0.517,0.482,0.511,0.592,0.554,0.529,0.5315000000000001,0.029950792977816134
rico_23_seq2seq_23_add_0.6,0.594,0.561,0.613,0.571,0.588,0.551,0.594,0.555,0.561,0.601,0.5789,0.020598300900802443
rico_23_transformer_23_add_0.6,0.582,0.576,0.571,0.55,0.556,0.571,0.544,0.562,0.584,0.578,0.5673999999999999,0.013078226179417413
rico_23_transformer_mean_23_add_0.6,0.563,0.55,0.565,0.569,0.56,0.561,0.564,0.549,0.568,0.591,0.564,0.01103630372905709
conv_re_23_conv_se_23_add_0.6,0.522,0.458,0.549,0.521,0.5,0.48,0.483,0.53,0.499,0.503,0.5045,0.025468608128439225
rico_23_seq2seq_23_add_0.7,0.6,0.564,0.58,0.581,0.581,0.572,0.574,0.603,0.6,0.614,0.5868999999999999,0.015384732691860473
rico_23_transformer_23_add_0.7,0.589,0.568,0.544,0.546,0.552,0.583,0.529,0.547,0.556,0.548,0.5561999999999999,0.01759431726438963
rico_23_transformer_mean_23_add_0.7,0.578,0.562,0.54,0.55,0.532,0.557,0.548,0.558,0.55,0.558,0.5533,0.0119335661057372
