name,0,1,2,3,4,5,6,7,8,9,Mean,Std
rico_23,0.543,,,,,,,,,,0.543,0.0
seq2seq_23,0.545,0.536,0.535,0.558,0.531,0.516,0.539,0.513,0.551,0.55,0.5374000000000001,0.013893883546366738
seq2seq_tree_23,0.615,0.642,0.625,0.631,0.647,0.641,0.618,0.624,0.643,0.64,0.6325999999999999,0.010892199043352093
conv_se_23,0.614,0.596,0.599,0.551,0.583,0.6,0.599,0.553,0.601,0.59,0.5885999999999999,0.01978484268322594
conv_re_23,0.502,0.398,0.441,0.478,0.478,0.442,0.471,0.463,0.458,0.488,0.4619,0.02796944761699808
rico_23_seq2seq_23_add,0.594,0.559,0.58,0.562,0.565,0.582,0.573,0.553,0.58,0.59,0.5738,0.012975361266646846
rico_23_seq2seq_23_cat,0.561,0.586,0.586,0.566,0.556,0.548,0.575,0.504,0.584,0.591,0.5656999999999999,0.02474287776310587
rico_23_seq2seq_tree_23_add,0.635,0.651,0.635,0.647,0.662,0.64,0.647,0.648,0.65,0.619,0.6434,0.011146299834474228
rico_23_seq2seq_tree_23_cat,0.651,0.656,0.643,0.65,0.669,0.64,0.648,0.651,0.669,0.658,0.6535000000000001,0.009243916918709306
conv_re_23_conv_se_23_add,0.532,0.499,0.552,0.547,0.517,0.482,0.511,0.592,0.554,0.529,0.5315000000000001,0.029950792977816134
conv_re_23_conv_se_23_cat,0.546,0.494,0.537,0.565,0.502,0.481,0.525,0.567,0.525,0.517,0.5259,0.027259677180773795
rico_23_conv_se_23_add,0.596,0.585,0.602,0.556,0.612,0.604,0.626,0.589,0.588,0.614,0.5972,0.018438004230393257
rico_23_conv_se_23_cat,0.603,0.607,0.605,0.555,0.57,0.604,0.603,0.589,0.593,0.615,0.5944,0.017647662734764615
seq2seq_23_conv_se_23_add,0.605,0.608,0.598,0.56,0.601,0.603,0.592,0.59,0.601,0.626,0.5984,0.015869467539901885
seq2seq_23_conv_se_23_cat,0.603,0.608,0.605,0.555,0.57,0.604,0.603,0.589,0.593,0.615,0.5945,0.01772145592213009
seq2seq_tree_23_conv_se_23_add,0.601,0.608,0.591,0.561,0.593,0.597,0.623,0.591,0.599,0.626,0.5990000000000001,0.017326280616450827
seq2seq_tree_23_conv_se_23_cat,0.603,0.607,0.605,0.555,0.572,0.604,0.603,0.589,0.593,0.617,0.5948,0.017622712617528544
rico_23_conv_re_23_add,0.511,0.437,0.463,0.475,0.463,0.48,0.462,0.456,0.45,0.473,0.46699999999999997,0.018899735447883915
rico_23_conv_re_23_cat,0.51,0.437,0.469,0.474,0.454,0.48,0.462,0.474,0.446,0.439,0.46449999999999997,0.020920086041888063
seq2seq_23_conv_re_23_add,0.504,0.44,0.471,0.483,0.467,0.475,0.462,0.463,0.44,0.48,0.4685,0.01830437106267243
seq2seq_23_conv_re_23_cat,0.51,0.437,0.463,0.474,0.467,0.48,0.462,0.474,0.446,0.439,0.4652,0.0206145579627602
seq2seq_tree_23_conv_re_23_add,0.503,0.437,0.466,0.475,0.45,0.484,0.461,0.453,0.461,0.467,0.4656999999999999,0.01757868026900768
seq2seq_tree_23_conv_re_23_cat,0.51,0.437,0.463,0.475,0.454,0.48,0.462,0.474,0.446,0.469,0.4670000000000001,0.01919895830507478
rico_23_seq2seq_23_add_0.1,0.539,0.526,0.535,0.533,0.524,0.523,0.54,0.531,0.562,0.569,0.5382,0.014797297050475122
rico_23_seq2seq_23_add_0.2,0.524,0.528,0.545,0.546,0.521,0.524,0.53,0.527,0.571,0.571,0.5387,0.01803357978882726
rico_23_seq2seq_23_add_0.3,0.528,0.524,0.536,0.538,0.517,0.538,0.537,0.521,0.559,0.55,0.5347999999999999,0.01230284519938377
rico_23_seq2seq_23_add_0.4,0.568,0.53,0.561,0.535,0.54,0.53,0.553,0.525,0.57,0.571,0.5483,0.01736692258288725
rico_23_seq2seq_23_add_0.5,0.594,0.559,0.58,0.562,0.565,0.582,0.573,0.553,0.58,0.59,0.5738,0.012975361266646846
rico_23_seq2seq_23_add_0.6,0.594,0.561,0.613,0.571,0.588,0.551,0.594,0.555,0.561,0.601,0.5789,0.020598300900802443
rico_23_seq2seq_23_add_0.7,0.6,0.564,0.58,0.581,0.581,0.572,0.574,0.603,0.6,0.614,0.5868999999999999,0.015384732691860473
rico_23_seq2seq_23_add_0.8,0.567,0.571,0.566,0.559,0.575,0.572,0.558,0.578,0.566,0.553,0.5665,0.007526619427073448
rico_23_seq2seq_23_add_0.9,0.543,0.55,0.516,0.527,0.53,0.53,0.543,0.521,0.538,0.534,0.5332000000000001,0.010007996802557453
rico_23_seq2seq_23_cat_0.1,0.544,0.529,0.516,0.54,0.531,0.519,0.533,0.495,0.539,0.546,0.5292,0.014763468427168474
rico_23_seq2seq_23_cat_0.2,0.518,0.533,0.531,0.549,0.512,0.517,0.532,0.501,0.564,0.544,0.5301,0.017902234497402823
rico_23_seq2seq_23_cat_0.3,0.557,0.532,0.536,0.557,0.539,0.548,0.549,0.519,0.569,0.567,0.5473,0.01510662106495028
rico_23_seq2seq_23_cat_0.4,0.546,0.566,0.557,0.562,0.552,0.525,0.54,0.544,0.538,0.579,0.5509,0.014855638660118232
rico_23_seq2seq_23_cat_0.5,0.561,0.586,0.586,0.566,0.556,0.548,0.575,0.504,0.584,0.591,0.5656999999999999,0.02474287776310587
rico_23_seq2seq_23_cat_0.6,0.597,0.581,0.605,0.577,0.572,0.586,0.582,0.57,0.603,0.583,0.5856,0.011629273408085316
rico_23_seq2seq_23_cat_0.7,0.559,0.599,0.602,0.616,0.601,0.59,0.599,0.579,0.59,0.584,0.5918999999999999,0.014781407240178441
rico_23_seq2seq_23_cat_0.8,0.585,0.583,0.57,0.568,0.571,0.558,0.544,0.55,0.584,0.6,0.5712999999999999,0.016425894191793612
rico_23_seq2seq_23_cat_0.9,0.542,0.528,0.526,0.546,0.543,0.557,0.536,0.544,0.539,0.542,0.5403,0.008450443775329207
rico_23_seq2seq_tree_23_add_0.1,0.636,0.643,0.64,0.632,0.641,0.636,0.632,0.642,0.641,0.638,0.6381,0.0037802116342871635
rico_23_seq2seq_tree_23_add_0.2,0.632,0.635,0.645,0.629,0.638,0.646,0.645,0.634,0.647,0.633,0.6384000000000001,0.006390618123468189
rico_23_seq2seq_tree_23_add_0.3,0.629,0.638,0.648,0.64,0.645,0.633,0.637,0.643,0.643,0.641,0.6397,0.005386093203798097
rico_23_seq2seq_tree_23_add_0.4,0.631,0.642,0.654,0.64,0.633,0.636,0.658,0.636,0.65,0.64,0.6420000000000001,0.008637129152675681
rico_23_seq2seq_tree_23_add_0.5,0.635,0.651,0.635,0.647,0.662,0.64,0.647,0.648,0.65,0.619,0.6434,0.011146299834474228
rico_23_seq2seq_tree_23_add_0.6,0.631,0.658,0.638,0.634,0.646,0.636,0.621,0.64,0.648,0.651,0.6403,0.01020832993197223
rico_23_seq2seq_tree_23_add_0.7,0.61,0.63,0.642,0.625,0.618,0.648,0.634,0.615,0.643,0.618,0.6283000000000001,0.012498399897586903
rico_23_seq2seq_tree_23_add_0.8,0.59,0.594,0.594,0.598,0.597,0.595,0.615,0.581,0.568,0.598,0.5929999999999999,0.01154989177438474
rico_23_seq2seq_tree_23_add_0.9,0.539,0.53,0.508,0.543,0.543,0.521,0.524,0.516,0.528,0.541,0.5293000000000001,0.011558979193683162
rico_23_seq2seq_tree_23_cat_0.1,0.628,0.631,0.631,0.629,0.633,0.642,0.632,0.645,0.637,0.627,0.6335,0.005696490147450451
rico_23_seq2seq_tree_23_cat_0.2,0.642,0.638,0.617,0.621,0.642,0.636,0.635,0.646,0.646,0.62,0.6343,0.010440785411069428
rico_23_seq2seq_tree_23_cat_0.3,0.632,0.621,0.633,0.636,0.636,0.635,0.625,0.651,0.642,0.638,0.6349,0.007905061669588676
rico_23_seq2seq_tree_23_cat_0.4,0.638,0.66,0.633,0.644,0.625,0.648,0.653,0.629,0.648,0.64,0.6418,0.01039038016628844
rico_23_seq2seq_tree_23_cat_0.5,0.651,0.656,0.643,0.65,0.669,0.64,0.648,0.651,0.669,0.658,0.6535000000000001,0.009243916918709306
rico_23_seq2seq_tree_23_cat_0.6,0.648,0.639,0.634,0.64,0.623,0.637,0.647,0.632,0.635,0.641,0.6376,0.006931089380465388
