name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean,Std
rico_23,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.0
seq2seq_23,0.551,0.55,0.548,0.533,0.528,0.529,0.552,0.521,0.543,0.564,0.541,0.57,0.535,0.543,0.538,0.528,0.561,0.549,0.539,0.552,0.536,0.528,0.548,0.545,0.551,0.53,0.552,0.568,0.537,0.544,0.5438,0.01215017146655414
conv_se_23,0.61,0.606,0.591,0.564,0.592,0.599,0.619,0.608,0.586,0.598,0.601,0.614,0.578,0.602,0.604,0.603,0.63,0.594,0.599,0.592,0.578,0.617,0.593,0.602,0.607,0.581,0.592,0.606,0.601,0.578,0.5981666666666665,0.01370421670711449
conv_re_23,0.491,0.455,0.466,0.477,0.468,0.481,0.488,0.463,0.463,0.495,0.471,0.451,0.484,0.476,0.459,0.486,0.42,0.453,0.482,0.436,0.461,0.455,0.43,0.467,0.466,0.48,0.463,0.493,0.447,0.463,0.4663333333333332,0.018024674446127695
rico23_seq2seq23_add,0.571,0.553,0.579,0.567,0.563,0.566,0.586,0.538,0.578,0.587,0.59,0.568,0.568,0.58,0.556,0.573,0.575,0.578,0.573,0.598,0.569,0.586,0.563,0.567,0.569,0.567,0.572,0.575,0.547,0.571,0.5710999999999999,0.012275585525749864
rico23_seq2seq23_cat,0.576,0.569,0.573,0.571,0.562,0.556,0.56,0.558,0.603,0.594,0.588,0.591,0.562,0.582,0.56,0.545,0.59,0.567,0.579,0.59,0.569,0.557,0.587,0.572,0.581,0.557,0.577,0.588,0.556,0.57,0.5730000000000001,0.013971399357258354
conv_re_23_conv_se_23_add,0.569,0.489,0.557,0.543,0.518,0.488,0.51,0.573,0.528,0.53,0.531,0.543,0.518,0.52,0.511,0.538,0.511,0.523,0.543,0.612,0.519,0.513,0.492,0.544,0.482,0.533,0.531,0.522,0.558,0.551,0.5299999999999999,0.027114571728131722
conv_re_23_conv_se_23_cat,0.545,0.494,0.558,0.54,0.515,0.476,0.52,0.577,0.549,0.522,0.563,0.571,0.509,0.527,0.509,0.565,0.524,0.522,0.535,0.607,0.512,0.543,0.519,0.53,0.5,0.546,0.542,0.53,0.599,0.532,0.5360333333333333,0.028755849646443912
rico_23_conv_se_23_add,0.595,0.614,0.613,0.554,0.609,0.607,0.586,0.61,0.592,0.613,0.612,0.611,0.584,0.618,0.609,0.593,0.608,0.609,0.621,0.605,0.57,0.633,0.605,0.597,0.618,0.591,0.596,0.615,0.592,0.589,0.6022999999999998,0.01575468184382027
rico_23_conv_se_23_cat,0.595,0.597,0.588,0.554,0.591,0.607,0.586,0.595,0.592,0.613,0.592,0.612,0.599,0.618,0.609,0.597,0.623,0.588,0.599,0.605,0.589,0.633,0.605,0.6,0.601,0.608,0.593,0.615,0.59,0.597,0.5997,0.014000357138301864
seq2seq_23_conv_se_23_add,0.595,0.595,0.586,0.574,0.595,0.6,0.611,0.611,0.603,0.615,0.618,0.612,0.597,0.62,0.608,0.591,0.619,0.606,0.621,0.593,0.588,0.627,0.609,0.598,0.614,0.571,0.582,0.589,0.6,0.575,0.6007666666666667,0.014582371396846124
seq2seq_23_conv_se_23_cat,0.595,0.614,0.588,0.554,0.6,0.607,0.612,0.595,0.592,0.612,0.592,0.612,0.602,0.61,0.609,0.597,0.623,0.613,0.599,0.605,0.592,0.633,0.605,0.6,0.601,0.608,0.605,0.615,0.59,0.597,0.6025666666666667,0.013462746954301545
rico_23_conv_re_23_add,0.494,0.414,0.463,0.473,0.476,0.477,0.496,0.458,0.466,0.492,0.469,0.462,0.483,0.466,0.414,0.489,0.424,0.444,0.477,0.46,0.459,0.463,0.433,0.469,0.465,0.484,0.452,0.496,0.45,0.458,0.46419999999999995,0.021724640388278007
