name,0,1,2,3,4,5,6,7,8,9,Mean_nk,Std_nk
rico,0.587,,,,,,,,,,0.587,0.0
seq2seq,0.591,0.58,0.583,0.565,0.57,0.547,0.568,0.564,0.6,0.616,0.5783999999999999,0.01901157542130583
transformer,0.582,0.565,0.582,0.57,0.577,0.598,0.591,0.575,0.608,0.56,0.5808,0.01410531814600436
transformer_mean,0.572,0.585,0.596,0.591,0.605,0.597,0.59,0.573,0.605,0.591,0.5905,0.010828203913853867
conv_se,0.651,0.633,0.626,0.622,0.633,0.646,0.635,0.637,0.623,0.649,0.6355000000000001,0.009881801455200371
conv_re,0.556,0.468,0.524,0.546,0.538,0.507,0.534,0.516,0.528,0.535,0.5252000000000001,0.023271441725857902
rico_seq2seq_add,0.617,0.591,0.612,0.583,0.607,0.588,0.59,0.578,0.627,0.632,0.6024999999999999,0.018084523770340224
rico_transformer_add,0.605,0.599,0.604,0.612,0.599,0.604,0.61,0.618,0.632,0.579,0.6062000000000001,0.01306751697913572
rico_transformer_mean_add,0.591,0.609,0.627,0.616,0.625,0.608,0.597,0.614,0.623,0.629,0.6138999999999999,0.012161003248087728
conv_re_conv_se_add,0.605,0.55,0.593,0.584,0.588,0.547,0.572,0.591,0.569,0.585,0.5784,0.01779999999999998
rico_seq2seq_cat,0.639,0.589,0.603,0.605,0.604,0.589,0.6,0.581,0.622,0.62,0.6052000000000001,0.016696107330752295
rico_transformer_cat,0.611,0.609,0.619,0.607,0.621,0.613,0.623,0.59,0.629,0.592,0.6113999999999999,0.012068139873236483
rico_transformer_mean_cat,0.62,0.627,0.629,0.619,0.626,0.598,0.605,0.598,0.626,0.624,0.6172,0.01154816002660165
conv_re_conv_se_cat,0.597,0.54,0.589,0.603,0.568,0.561,0.572,0.597,0.595,0.581,0.5802999999999999,0.018926436537288243
rico_conv_se_add,0.663,0.636,0.634,0.612,0.65,0.64,0.647,0.626,0.627,0.645,0.6380000000000001,0.013652838532700821
seq2seq_conv_se_add,0.636,0.625,0.632,0.617,0.63,0.643,0.644,0.626,0.633,0.651,0.6337,0.00963379468330108
transformer_conv_se_add,0.651,0.647,0.631,0.612,0.641,0.643,0.638,0.626,0.637,0.658,0.6384000000000001,0.012459534501738027
transformer_mean_conv_se_add,0.651,0.648,0.638,0.611,0.641,0.64,0.647,0.622,0.628,0.64,0.6365999999999999,0.011968291440301756
rico_conv_se_cat,0.651,0.645,0.635,0.619,0.629,0.639,0.642,0.626,0.621,0.64,0.6347,0.010070253224224312
seq2seq_conv_se_cat,0.651,0.635,0.625,0.611,0.629,0.655,0.637,0.626,0.627,0.647,0.6343,0.012868954891520923
transformer_conv_se_cat,0.651,0.635,0.642,0.611,0.629,0.639,0.642,0.626,0.622,0.64,0.6336999999999999,0.011135977729862799
transformer_mean_conv_se_cat,0.651,0.635,0.635,0.619,0.629,0.639,0.642,0.626,0.634,0.64,0.635,0.008485281374238578
rico_conv_re_add,0.546,0.483,0.521,0.538,0.528,0.517,0.532,0.517,0.517,0.529,0.5228,0.016148064899547575
seq2seq_conv_re_add,0.55,0.491,0.52,0.538,0.522,0.511,0.53,0.512,0.517,0.546,0.5237000000000002,0.01691774216614027
transformer_conv_re_add,0.547,0.47,0.523,0.53,0.532,0.531,0.524,0.497,0.523,0.543,0.522,0.0215545818794984
transformer_mean_conv_re_add,0.546,0.492,0.52,0.525,0.533,0.506,0.524,0.526,0.523,0.535,0.5229999999999999,0.014303845636750991
rico_conv_re_cat,0.553,0.47,0.523,0.529,0.532,0.534,0.532,0.513,0.517,0.544,0.5246999999999999,0.021391820866864066
seq2seq_conv_re_cat,0.553,0.47,0.523,0.522,0.532,0.534,0.532,0.523,0.517,0.544,0.525,0.02104756517984921
transformer_conv_re_cat,0.553,0.47,0.523,0.529,0.532,0.534,0.532,0.522,0.517,0.544,0.5256000000000001,0.021067510531621925
transformer_mean_conv_re_cat,0.553,0.47,0.523,0.529,0.532,0.534,0.532,0.522,0.517,0.544,0.5256000000000001,0.021067510531621925
rico_seq2seq_add_0.1,0.586,0.569,0.556,0.573,0.56,0.551,0.57,0.55,0.608,0.616,0.5738999999999999,0.021750632174720785
rico_transformer_add_0.1,0.583,0.564,0.589,0.593,0.571,0.591,0.569,0.568,0.599,0.558,0.5784999999999999,0.013433167906342863
rico_transformer_mean_add_0.1,0.564,0.59,0.593,0.59,0.592,0.609,0.584,0.582,0.604,0.582,0.589,0.011832159566199242
conv_re_conv_se_add_0.1,0.643,0.629,0.627,0.62,0.634,0.642,0.638,0.634,0.633,0.648,0.6348,0.007884161337770815
rico_seq2seq_add_0.2,0.581,0.563,0.584,0.59,0.56,0.569,0.564,0.563,0.599,0.601,0.5773999999999999,0.014853955702101712
rico_transformer_add_0.2,0.584,0.591,0.589,0.594,0.584,0.609,0.593,0.576,0.604,0.556,0.588,0.014028542333400134
rico_transformer_mean_add_0.2,0.582,0.592,0.627,0.61,0.609,0.61,0.591,0.585,0.594,0.603,0.6003000000000001,0.013221573280060142
conv_re_conv_se_add_0.2,0.657,0.58,0.621,0.62,0.603,0.592,0.607,0.611,0.621,0.626,0.6138000000000001,0.019863534428696237
rico_seq2seq_add_0.3,0.596,0.573,0.579,0.558,0.561,0.565,0.56,0.565,0.598,0.604,0.5759000000000001,0.016531485111749622
rico_transformer_add_0.3,0.604,0.593,0.601,0.614,0.576,0.609,0.597,0.588,0.614,0.566,0.5962,0.015098344280085827
rico_transformer_mean_add_0.3,0.598,0.611,0.646,0.613,0.606,0.605,0.598,0.599,0.616,0.613,0.6105,0.013410816529950752
conv_re_conv_se_add_0.3,0.619,0.569,0.62,0.607,0.571,0.579,0.606,0.623,0.568,0.62,0.5982,0.022382135733660467
rico_seq2seq_add_0.4,0.603,0.589,0.59,0.579,0.575,0.561,0.58,0.569,0.613,0.603,0.5862,0.015657586020839862
rico_transformer_add_0.4,0.603,0.606,0.622,0.597,0.594,0.613,0.613,0.607,0.62,0.575,0.605,0.013175735273600496
rico_transformer_mean_add_0.4,0.616,0.612,0.642,0.613,0.616,0.615,0.603,0.628,0.611,0.614,0.617,0.010168579055108937
conv_re_conv_se_add_0.4,0.611,0.555,0.599,0.589,0.586,0.581,0.568,0.614,0.569,0.598,0.587,0.018220867158288592
rico_seq2seq_add_0.5,0.617,0.591,0.612,0.583,0.607,0.588,0.59,0.578,0.627,0.632,0.6024999999999999,0.018084523770340224
rico_transformer_add_0.5,0.605,0.599,0.604,0.612,0.599,0.604,0.61,0.618,0.632,0.579,0.6062000000000001,0.01306751697913572
rico_transformer_mean_add_0.5,0.591,0.609,0.627,0.616,0.625,0.608,0.597,0.614,0.623,0.629,0.6138999999999999,0.012161003248087728
conv_re_conv_se_add_0.5,0.605,0.55,0.593,0.584,0.588,0.547,0.572,0.591,0.569,0.585,0.5784,0.01779999999999998
rico_seq2seq_add_0.6,0.624,0.604,0.652,0.612,0.613,0.619,0.623,0.613,0.648,0.639,0.6247,0.015466415227841273
rico_transformer_add_0.6,0.621,0.591,0.617,0.607,0.607,0.622,0.601,0.611,0.602,0.588,0.6067,0.011018620603324186
rico_transformer_mean_add_0.6,0.599,0.603,0.612,0.618,0.614,0.6,0.604,0.614,0.606,0.61,0.608,0.006180614856144983
