name,0,1,2,3,4,5,6,7,8,9,Mean_nk,Std_nk
rico,0.587,,,,,,,,,,0.587,0.0
seq2seq,0.591,0.58,0.583,0.565,0.57,0.547,0.568,0.564,0.6,0.616,0.5783999999999999,0.01901157542130583
tree,0.679,0.657,0.679,0.673,0.661,0.659,0.663,0.655,0.672,0.656,0.6654,0.008968834929911474
conv_se,0.651,0.633,0.626,0.622,0.633,0.646,0.635,0.637,0.623,0.649,0.6355000000000001,0.009881801455200371
conv_re,0.556,0.468,0.524,0.546,0.538,0.507,0.534,0.516,0.528,0.535,0.5252000000000001,0.023271441725857902
rico_seq2seq_add,0.617,0.591,0.612,0.583,0.607,0.588,0.59,0.578,0.627,0.632,0.6024999999999999,0.018084523770340224
rico_seq2seq_cat,0.639,0.589,0.603,0.605,0.604,0.589,0.6,0.581,0.622,0.62,0.6052000000000001,0.016696107330752295
rico_tree_add,0.671,0.672,0.693,0.671,0.676,0.675,0.689,0.677,0.703,0.684,0.6811,0.010290286682109457
rico_tree_cat,0.696,0.686,0.689,0.691,0.708,0.692,0.698,0.669,0.685,0.685,0.6899000000000001,0.009679359482940976
conv_re_conv_se_add,0.605,0.55,0.593,0.584,0.588,0.547,0.572,0.591,0.569,0.585,0.5784,0.01779999999999998
conv_re_conv_se_cat,0.597,0.54,0.589,0.603,0.568,0.561,0.572,0.597,0.595,0.581,0.5802999999999999,0.018926436537288243
rico_conv_se_add,0.663,0.636,0.634,0.612,0.65,0.64,0.647,0.626,0.627,0.645,0.6380000000000001,0.013652838532700821
rico_conv_se_cat,0.651,0.645,0.635,0.619,0.629,0.639,0.642,0.626,0.621,0.64,0.6347,0.010070253224224312
seq2seq_conv_se_add,0.636,0.625,0.632,0.617,0.63,0.643,0.644,0.626,0.633,0.651,0.6337,0.00963379468330108
seq2seq_conv_se_cat,0.651,0.635,0.625,0.611,0.629,0.655,0.637,0.626,0.627,0.647,0.6343,0.012868954891520923
tree_conv_se_add,0.649,0.641,0.622,0.613,0.644,0.656,0.644,0.629,0.633,0.64,0.6371,0.012283729075488447
tree_conv_se_cat,0.651,0.635,0.625,0.611,0.64,0.639,0.642,0.626,0.622,0.64,0.6331,0.01122898036332775
rico_conv_re_add,0.546,0.483,0.521,0.538,0.528,0.517,0.532,0.517,0.517,0.529,0.5228,0.016148064899547575
rico_conv_re_cat,0.553,0.47,0.523,0.529,0.532,0.534,0.532,0.513,0.517,0.544,0.5246999999999999,0.021391820866864066
seq2seq_conv_re_add,0.55,0.491,0.52,0.538,0.522,0.511,0.53,0.512,0.517,0.546,0.5237000000000002,0.01691774216614027
seq2seq_conv_re_cat,0.553,0.47,0.523,0.522,0.532,0.534,0.532,0.523,0.517,0.544,0.525,0.02104756517984921
tree_conv_re_add,0.55,0.496,0.535,0.524,0.533,0.517,0.533,0.517,0.521,0.543,0.5269,0.0145838952272704
tree_conv_re_cat,0.553,0.47,0.523,0.529,0.532,0.534,0.532,0.513,0.517,0.544,0.5246999999999999,0.021391820866864066
rico_seq2seq_add_0.1,0.586,0.569,0.556,0.573,0.56,0.551,0.57,0.55,0.608,0.616,0.5738999999999999,0.021750632174720785
rico_seq2seq_add_0.2,0.581,0.563,0.584,0.59,0.56,0.569,0.564,0.563,0.599,0.601,0.5773999999999999,0.014853955702101712
rico_seq2seq_add_0.3,0.596,0.573,0.579,0.558,0.561,0.565,0.56,0.565,0.598,0.604,0.5759000000000001,0.016531485111749622
rico_seq2seq_add_0.4,0.603,0.589,0.59,0.579,0.575,0.561,0.58,0.569,0.613,0.603,0.5862,0.015657586020839862
rico_seq2seq_add_0.5,0.617,0.591,0.612,0.583,0.607,0.588,0.59,0.578,0.627,0.632,0.6024999999999999,0.018084523770340224
rico_seq2seq_add_0.6,0.624,0.604,0.652,0.612,0.613,0.619,0.623,0.613,0.648,0.639,0.6247,0.015466415227841273
rico_seq2seq_add_0.7,0.618,0.618,0.637,0.63,0.615,0.639,0.628,0.629,0.637,0.638,0.6289000000000001,0.008653900854527982
rico_seq2seq_add_0.8,0.619,0.631,0.622,0.617,0.625,0.624,0.622,0.615,0.631,0.61,0.6216000000000002,0.006327716807822555
rico_seq2seq_add_0.9,0.599,0.59,0.587,0.608,0.6,0.607,0.596,0.6,0.609,0.602,0.5998,0.0069541354602854905
rico_seq2seq_cat_0.1,0.598,0.567,0.578,0.573,0.563,0.565,0.562,0.559,0.595,0.605,0.5764999999999999,0.01597654530867045
rico_seq2seq_cat_0.2,0.595,0.566,0.58,0.583,0.563,0.556,0.573,0.561,0.591,0.614,0.5782,0.017174399552822787
rico_seq2seq_cat_0.3,0.595,0.561,0.578,0.581,0.58,0.548,0.573,0.562,0.589,0.619,0.5786,0.01889550211029067
rico_seq2seq_cat_0.4,0.594,0.567,0.585,0.591,0.586,0.57,0.582,0.574,0.602,0.62,0.5871,0.015056227947264892
rico_seq2seq_cat_0.5,0.639,0.589,0.603,0.605,0.604,0.589,0.6,0.581,0.622,0.62,0.6052000000000001,0.016696107330752295
rico_seq2seq_cat_0.6,0.658,0.618,0.642,0.634,0.636,0.613,0.611,0.617,0.631,0.642,0.6302000000000001,0.014448529336925623
rico_seq2seq_cat_0.7,0.65,0.633,0.643,0.64,0.643,0.643,0.621,0.623,0.654,0.655,0.6405,0.011155716023635607
rico_seq2seq_cat_0.8,0.639,0.631,0.626,0.636,0.623,0.632,0.623,0.607,0.637,0.631,0.6285000000000001,0.008902246907382436
rico_seq2seq_cat_0.9,0.606,0.598,0.584,0.6,0.613,0.591,0.588,0.604,0.598,0.599,0.5981,0.008215229759416357
rico_tree_add_0.1,0.667,0.657,0.675,0.67,0.659,0.657,0.667,0.654,0.676,0.662,0.6644,0.007378346698278694
rico_tree_add_0.2,0.647,0.657,0.666,0.678,0.671,0.67,0.654,0.657,0.683,0.659,0.6641999999999999,0.010759182125050221
rico_tree_add_0.3,0.666,0.669,0.674,0.665,0.674,0.67,0.67,0.661,0.687,0.659,0.6695,0.0075000000000000075
rico_tree_add_0.4,0.675,0.676,0.672,0.68,0.674,0.671,0.682,0.656,0.666,0.665,0.6717000000000001,0.007308214556237392
rico_tree_add_0.5,0.671,0.672,0.693,0.671,0.676,0.675,0.689,0.677,0.703,0.684,0.6811,0.010290286682109457
rico_tree_add_0.6,0.677,0.666,0.683,0.667,0.675,0.682,0.707,0.674,0.693,0.681,0.6805,0.011595257651298627
rico_tree_add_0.7,0.685,0.666,0.662,0.658,0.662,0.668,0.686,0.658,0.679,0.673,0.6697,0.01003045362882458
rico_tree_add_0.8,0.645,0.639,0.639,0.643,0.645,0.647,0.645,0.625,0.652,0.644,0.6424000000000001,0.006800000000000006
rico_tree_add_0.9,0.596,0.619,0.605,0.599,0.62,0.603,0.62,0.6,0.612,0.603,0.6076999999999999,0.008786922100485478
rico_tree_cat_0.1,0.657,0.658,0.679,0.674,0.67,0.664,0.678,0.658,0.675,0.669,0.6682,0.00804735981549229
rico_tree_cat_0.2,0.675,0.664,0.667,0.661,0.668,0.667,0.67,0.658,0.675,0.658,0.6663000000000001,0.0058318093247293375
rico_tree_cat_0.3,0.672,0.665,0.667,0.666,0.676,0.669,0.678,0.669,0.677,0.666,0.6705,0.004674398357008102
