name,0,1,2,3,4,5,6,7,8,9,Mean,Std
rico_23,0.535,,,,,,,,,,0.535,0.0
seq2seq_23,0.549,0.532,0.548,0.559,0.539,0.519,0.544,0.514,0.563,0.572,0.5439,0.017620726432244486
transformer_23,0.549,0.532,0.556,0.553,0.544,0.564,0.527,0.535,0.574,0.528,0.5462,0.015071828024496544
transformer_mean_23,0.541,0.542,0.565,0.568,0.562,0.563,0.536,0.55,0.553,0.554,0.5534000000000001,0.010547037498748139
conv_se_23,0.611,0.609,0.581,0.549,0.593,0.607,0.6,0.596,0.6,0.608,0.5953999999999999,0.017692936443677164
conv_re_23,0.507,0.435,0.469,0.472,0.461,0.468,0.46,0.473,0.449,0.484,0.4678,0.018389127222356146
rico_23_seq2seq_23_add,0.576,0.553,0.589,0.578,0.554,0.564,0.572,0.529,0.586,0.613,0.5714,0.02193718304614335
rico_23_transformer_23_add,0.577,0.553,0.572,0.567,0.556,0.57,0.574,0.569,0.597,0.564,0.5699,0.011527792503337294
rico_23_transformer_mean_23_add,0.573,0.565,0.571,0.601,0.574,0.575,0.559,0.575,0.551,0.58,0.5724,0.012595237195067012
conv_re_23_conv_se_23_add,0.544,0.49,0.563,0.551,0.52,0.468,0.513,0.557,0.533,0.533,0.5272000000000001,0.028683793333518497
rico_23_seq2seq_23_cat,0.571,0.572,0.597,0.586,0.564,0.543,0.561,0.554,0.588,0.595,0.5730999999999999,0.01716071094098374
rico_23_transformer_23_cat,0.597,0.579,0.565,0.557,0.573,0.566,0.563,0.578,0.613,0.54,0.5731,0.019480503073586154
rico_23_transformer_mean_23_cat,0.575,0.552,0.595,0.582,0.598,0.588,0.581,0.57,0.599,0.575,0.5815,0.013749545447032047
conv_re_23_conv_se_23_cat,0.546,0.506,0.572,0.553,0.509,0.487,0.522,0.559,0.552,0.533,0.5339000000000002,0.02580871945680375
rico_23_conv_se_23_add,0.611,0.599,0.598,0.565,0.585,0.597,0.612,0.605,0.614,0.613,0.5999000000000001,0.014556441872930362
seq2seq_23_conv_se_23_add,0.621,0.601,0.583,0.565,0.585,0.595,0.615,0.581,0.59,0.609,0.5945,0.016341664541900267
