name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean_pg,Std_pg
rico,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.3239999999999999,5.642875308493207e-17
seq2seq,0.349,0.369,0.38299999999999995,0.29,0.316,0.349,0.364,0.314,0.311,0.39899999999999997,0.42100000000000004,0.303,0.27,0.321,0.41600000000000004,0.354,0.39899999999999997,0.34700000000000003,0.316,0.307,0.366,0.364,0.413,0.309,0.306,0.38,0.42,0.386,0.327,0.406,0.3525,0.04262686946047059
conv_se,0.441,0.4,0.42700000000000005,0.36,0.364,0.363,0.434,0.431,0.35,0.45299999999999996,0.47100000000000003,0.373,0.41100000000000003,0.424,0.40399999999999997,0.436,0.44299999999999995,0.409,0.41,0.42,0.379,0.456,0.439,0.39299999999999996,0.39,0.441,0.364,0.444,0.401,0.327,0.4086000000000001,0.035393596407636604
conv_re,0.294,0.16,0.18899999999999997,0.287,0.301,0.27,0.256,0.177,0.27899999999999997,0.267,0.21899999999999997,0.259,0.24600000000000002,0.27399999999999997,0.204,0.237,0.2,0.177,0.284,0.267,0.239,0.251,0.221,0.261,0.23600000000000002,0.257,0.267,0.23399999999999999,0.21600000000000003,0.26,0.24296666666666666,0.036267968726626465
rico_seq2seq_add,0.423,0.41100000000000003,0.473,0.366,0.377,0.33299999999999996,0.406,0.377,0.41700000000000004,0.486,0.43700000000000006,0.41600000000000004,0.41,0.363,0.4,0.369,0.436,0.457,0.43,0.40700000000000003,0.39,0.44299999999999995,0.40299999999999997,0.446,0.361,0.39299999999999996,0.426,0.446,0.373,0.473,0.4116,0.03670113531395634
rico_seq2seq_cat,0.43,0.349,0.401,0.397,0.457,0.43700000000000006,0.41600000000000004,0.35600000000000004,0.45899999999999996,0.479,0.361,0.40299999999999997,0.371,0.466,0.39399999999999996,0.363,0.39899999999999997,0.389,0.457,0.364,0.41100000000000003,0.376,0.384,0.44299999999999995,0.39299999999999996,0.431,0.461,0.396,0.406,0.46299999999999997,0.4104,0.037036558515427254
conv_re_conv_se_add,0.267,0.27699999999999997,0.349,0.35700000000000004,0.29600000000000004,0.27399999999999997,0.35600000000000004,0.431,0.341,0.33,0.39899999999999997,0.377,0.307,0.33899999999999997,0.304,0.41100000000000003,0.316,0.353,0.287,0.496,0.27399999999999997,0.273,0.247,0.359,0.287,0.316,0.327,0.299,0.46,0.384,0.3364333333333334,0.058824418588050854
conv_re_conv_se_cat,0.303,0.264,0.33399999999999996,0.359,0.34600000000000003,0.317,0.3,0.40299999999999997,0.414,0.33399999999999996,0.297,0.36700000000000005,0.29600000000000004,0.366,0.27,0.303,0.35,0.301,0.36,0.426,0.31,0.284,0.313,0.303,0.27899999999999997,0.276,0.34,0.284,0.499,0.349,0.3315666666666667,0.05176207320251211
rico_conv_se_add,0.40399999999999997,0.409,0.384,0.33399999999999996,0.466,0.47100000000000003,0.384,0.441,0.424,0.424,0.429,0.41600000000000004,0.439,0.40700000000000003,0.441,0.49,0.41700000000000004,0.413,0.401,0.387,0.363,0.409,0.39899999999999997,0.501,0.47,0.39299999999999996,0.389,0.441,0.431,0.414,0.41969999999999996,0.035678331425857544
rico_conv_se_cat,0.379,0.409,0.384,0.349,0.40299999999999997,0.466,0.386,0.441,0.484,0.44299999999999995,0.424,0.42100000000000004,0.391,0.397,0.46399999999999997,0.49,0.41700000000000004,0.387,0.52,0.387,0.40399999999999997,0.409,0.506,0.501,0.47,0.391,0.41100000000000003,0.41600000000000004,0.431,0.414,0.42650000000000005,0.04236252274514979
seq2seq_conv_se_add,0.413,0.424,0.41100000000000003,0.364,0.384,0.473,0.39399999999999996,0.441,0.41700000000000004,0.42100000000000004,0.433,0.34600000000000003,0.45399999999999996,0.41,0.387,0.44299999999999995,0.41700000000000004,0.381,0.52,0.397,0.379,0.46299999999999997,0.45899999999999996,0.34299999999999997,0.47,0.41600000000000004,0.387,0.41600000000000004,0.431,0.436,0.41766666666666663,0.03825644462774285
seq2seq_conv_se_cat,0.379,0.44299999999999995,0.384,0.349,0.40299999999999997,0.466,0.386,0.441,0.419,0.44299999999999995,0.441,0.42100000000000004,0.391,0.397,0.46399999999999997,0.49,0.41700000000000004,0.387,0.52,0.387,0.363,0.409,0.506,0.501,0.47,0.391,0.41100000000000003,0.41600000000000004,0.431,0.47,0.4265333333333334,0.04321244676659209
rico_conv_re_add,0.293,0.18,0.237,0.337,0.34600000000000003,0.204,0.27899999999999997,0.24,0.28600000000000003,0.256,0.259,0.28300000000000003,0.247,0.266,0.203,0.23399999999999999,0.24100000000000002,0.273,0.256,0.19699999999999998,0.28300000000000003,0.24,0.187,0.24100000000000002,0.3,0.221,0.24600000000000002,0.22399999999999998,0.21,0.266,0.25116666666666665,0.0393845006174877
rico_conv_re_cat,0.293,0.183,0.163,0.33899999999999997,0.251,0.204,0.27899999999999997,0.214,0.28600000000000003,0.256,0.259,0.301,0.247,0.316,0.203,0.27699999999999997,0.233,0.271,0.256,0.161,0.281,0.24,0.177,0.24100000000000002,0.233,0.267,0.266,0.214,0.21100000000000002,0.259,0.2460333333333333,0.043134273560076965
seq2seq_conv_re_add,0.293,0.191,0.294,0.28,0.27399999999999997,0.226,0.281,0.254,0.28600000000000003,0.256,0.27899999999999997,0.24600000000000002,0.247,0.27399999999999997,0.22399999999999998,0.22899999999999998,0.233,0.273,0.23600000000000002,0.18,0.213,0.256,0.177,0.27699999999999997,0.233,0.267,0.22399999999999998,0.223,0.217,0.29600000000000004,0.2479666666666666,0.03297825883147192
seq2seq_conv_re_cat,0.293,0.18,0.163,0.337,0.251,0.20600000000000002,0.27899999999999997,0.214,0.28600000000000003,0.256,0.259,0.301,0.247,0.3,0.203,0.27699999999999997,0.233,0.271,0.256,0.21899999999999997,0.281,0.24,0.177,0.24100000000000002,0.233,0.267,0.266,0.214,0.253,0.259,0.24873333333333333,0.03906911255142041
rico_seq2seq_add_0.1,0.33,0.354,0.401,0.41700000000000004,0.32,0.359,0.32299999999999995,0.29,0.41100000000000003,0.384,0.447,0.359,0.35700000000000004,0.35700000000000004,0.364,0.40700000000000003,0.391,0.294,0.409,0.344,0.369,0.316,0.40399999999999997,0.384,0.431,0.381,0.40399999999999997,0.396,0.401,0.36,0.3721333333333333,0.03881901023410509
rico_seq2seq_add_0.2,0.39299999999999996,0.36700000000000005,0.32299999999999995,0.433,0.39399999999999996,0.337,0.39,0.344,0.349,0.431,0.43,0.37,0.38299999999999995,0.376,0.34700000000000003,0.349,0.36700000000000005,0.381,0.406,0.35700000000000004,0.306,0.381,0.34600000000000003,0.344,0.419,0.32,0.466,0.38,0.33299999999999996,0.35100000000000003,0.3724333333333334,0.037070818112843906
rico_seq2seq_add_0.3,0.37,0.363,0.38,0.37,0.38299999999999995,0.307,0.397,0.364,0.396,0.36700000000000005,0.39299999999999996,0.349,0.35600000000000004,0.386,0.39299999999999996,0.34600000000000003,0.366,0.401,0.326,0.363,0.326,0.33,0.34700000000000003,0.337,0.386,0.369,0.41100000000000003,0.35100000000000003,0.359,0.359,0.3650333333333332,0.024617721710634033
rico_seq2seq_add_0.4,0.349,0.361,0.413,0.35600000000000004,0.406,0.374,0.41100000000000003,0.267,0.43,0.373,0.431,0.35100000000000003,0.4,0.387,0.344,0.366,0.386,0.444,0.28600000000000003,0.36,0.344,0.35100000000000003,0.34600000000000003,0.376,0.38299999999999995,0.369,0.426,0.39,0.361,0.409,0.3750000000000001,0.03865919468035169
rico_seq2seq_add_0.5,0.423,0.41100000000000003,0.473,0.366,0.377,0.33299999999999996,0.406,0.377,0.41700000000000004,0.486,0.43700000000000006,0.41600000000000004,0.41,0.363,0.4,0.369,0.436,0.457,0.43,0.40700000000000003,0.39,0.44299999999999995,0.40299999999999997,0.446,0.361,0.39299999999999996,0.426,0.446,0.373,0.473,0.4116,0.03670113531395634
rico_seq2seq_add_0.6,0.423,0.424,0.436,0.41600000000000004,0.39,0.42100000000000004,0.39,0.40399999999999997,0.45,0.424,0.43,0.426,0.386,0.41600000000000004,0.38,0.42,0.39899999999999997,0.461,0.34299999999999997,0.461,0.42,0.387,0.396,0.373,0.42,0.47,0.38,0.45299999999999996,0.41600000000000004,0.359,0.41246666666666676,0.030004147861402247
rico_seq2seq_add_0.7,0.38,0.429,0.44,0.42100000000000004,0.444,0.38299999999999995,0.42700000000000005,0.45,0.39399999999999996,0.47100000000000003,0.364,0.414,0.424,0.40299999999999997,0.461,0.484,0.42,0.39399999999999996,0.42,0.373,0.449,0.426,0.419,0.506,0.337,0.397,0.447,0.434,0.33,0.397,0.41793333333333327,0.038948627133129556
