name,0,1,2,3,4,5,6,7,8,9,Mean,Std
rico_23,0.37,,,,,,,,,,0.37,0.0
seq2seq_23,0.363,0.42,0.34700000000000003,0.34700000000000003,0.384,0.327,0.366,0.33299999999999996,0.414,0.376,0.36769999999999997,0.02992674389237826
seq2seq_tree_23,0.297,0.359,0.354,0.39,0.414,0.33399999999999996,0.299,0.363,0.371,0.377,0.3558,0.03530099148749225
conv_se_23,0.45299999999999996,0.40399999999999997,0.446,0.349,0.419,0.373,0.374,0.386,0.46399999999999997,0.456,0.41240000000000004,0.03898512536852999
conv_re_23,0.284,0.171,0.256,0.29,0.29,0.257,0.271,0.22899999999999998,0.239,0.233,0.252,0.03454562200916347
rico_23_seq2seq_23_add,0.486,0.419,0.473,0.436,0.397,0.419,0.41,0.376,0.429,0.414,0.42590000000000006,0.0312360368805007
rico_23_seq2seq_23_cat,0.33299999999999996,0.466,0.483,0.40700000000000003,0.46,0.327,0.363,0.327,0.45899999999999996,0.46399999999999997,0.40890000000000004,0.06180202262062303
rico_23_seq2seq_tree_23_add,0.433,0.447,0.426,0.49700000000000005,0.509,0.42700000000000005,0.523,0.451,0.409,0.423,0.45450000000000007,0.03824983660095819
rico_23_seq2seq_tree_23_cat,0.479,0.489,0.53,0.5429999999999999,0.44299999999999995,0.441,0.57,0.41600000000000004,0.581,0.474,0.49659999999999993,0.05396146773393028
conv_re_23_conv_se_23_add,0.36,0.253,0.349,0.386,0.364,0.281,0.34,0.466,0.40700000000000003,0.32,0.35259999999999997,0.05779307917043355
conv_re_23_conv_se_23_cat,0.349,0.27399999999999997,0.303,0.34700000000000003,0.361,0.26899999999999996,0.36700000000000005,0.37,0.324,0.34299999999999997,0.3307,0.03516546601425895
rico_23_conv_se_23_add,0.409,0.444,0.439,0.326,0.436,0.433,0.493,0.4,0.473,0.45399999999999996,0.43069999999999997,0.04343742625893021
rico_23_conv_se_23_cat,0.441,0.45399999999999996,0.444,0.387,0.336,0.433,0.42700000000000005,0.4,0.426,0.507,0.4255,0.042706556873623035
seq2seq_23_conv_se_23_add,0.45399999999999996,0.44299999999999995,0.406,0.35,0.45299999999999996,0.467,0.41700000000000004,0.38299999999999995,0.41100000000000003,0.467,0.42510000000000003,0.0367245149729714
seq2seq_23_conv_se_23_cat,0.441,0.45399999999999996,0.444,0.387,0.336,0.433,0.42700000000000005,0.4,0.426,0.507,0.4255,0.042706556873623035
seq2seq_tree_23_conv_se_23_add,0.36,0.45299999999999996,0.431,0.35,0.379,0.423,0.483,0.384,0.41,0.469,0.4142,0.04339308700703373
seq2seq_tree_23_conv_se_23_cat,0.441,0.45399999999999996,0.444,0.387,0.336,0.433,0.42700000000000005,0.4,0.426,0.439,0.41869999999999996,0.03363941140983295
rico_23_conv_re_23_add,0.28300000000000003,0.193,0.304,0.287,0.276,0.253,0.281,0.226,0.23600000000000002,0.191,0.253,0.03798947222586805
rico_23_conv_re_23_cat,0.26899999999999996,0.193,0.266,0.287,0.27899999999999997,0.253,0.281,0.259,0.253,0.221,0.2561,0.02757698315624825
seq2seq_23_conv_re_23_add,0.32299999999999995,0.217,0.266,0.36700000000000005,0.297,0.26899999999999996,0.281,0.22899999999999998,0.23399999999999999,0.256,0.2739,0.04349126349049888
seq2seq_23_conv_re_23_cat,0.26899999999999996,0.193,0.304,0.287,0.29,0.253,0.281,0.259,0.253,0.221,0.261,0.031915513469157906
seq2seq_tree_23_conv_re_23_add,0.29100000000000004,0.193,0.243,0.293,0.273,0.251,0.281,0.266,0.263,0.24100000000000002,0.2595,0.02814693589007514
seq2seq_tree_23_conv_re_23_cat,0.26899999999999996,0.193,0.304,0.287,0.27899999999999997,0.253,0.281,0.259,0.253,0.251,0.2629,0.02851823977737756
rico_23_seq2seq_23_add_0.1,0.381,0.38299999999999995,0.401,0.38,0.331,0.35700000000000004,0.401,0.41100000000000003,0.381,0.406,0.38320000000000004,0.023146490014686896
rico_23_seq2seq_23_add_0.2,0.311,0.409,0.386,0.38299999999999995,0.299,0.309,0.33,0.39399999999999996,0.389,0.4,0.361,0.041007316420365765
rico_23_seq2seq_23_add_0.3,0.41100000000000003,0.40399999999999997,0.41700000000000004,0.434,0.303,0.33399999999999996,0.40399999999999997,0.32899999999999996,0.379,0.38299999999999995,0.37979999999999997,0.04129600464936046
rico_23_seq2seq_23_add_0.4,0.391,0.36,0.413,0.373,0.35700000000000004,0.35700000000000004,0.363,0.387,0.387,0.429,0.3817,0.023401068351680005
rico_23_seq2seq_23_add_0.5,0.486,0.419,0.473,0.436,0.397,0.419,0.41,0.376,0.429,0.414,0.42590000000000006,0.0312360368805007
rico_23_seq2seq_23_add_0.6,0.42700000000000005,0.41,0.491,0.41,0.457,0.314,0.419,0.40299999999999997,0.40399999999999997,0.43,0.4165,0.042916779935125604
rico_23_seq2seq_23_add_0.7,0.45299999999999996,0.35,0.397,0.406,0.354,0.379,0.41,0.467,0.446,0.401,0.40630000000000005,0.03770954786257719
rico_23_seq2seq_23_add_0.8,0.35700000000000004,0.387,0.457,0.40399999999999997,0.436,0.44,0.433,0.39399999999999996,0.397,0.40700000000000003,0.4112,0.028473847650080587
rico_23_seq2seq_23_add_0.9,0.38299999999999995,0.387,0.32299999999999995,0.374,0.327,0.40700000000000003,0.419,0.353,0.361,0.341,0.3675,0.0307416655371826
rico_23_seq2seq_23_cat_0.1,0.391,0.397,0.361,0.414,0.387,0.316,0.32299999999999995,0.36700000000000005,0.324,0.40299999999999997,0.36829999999999996,0.03433088988068908
rico_23_seq2seq_23_cat_0.2,0.33899999999999997,0.39399999999999996,0.41700000000000004,0.389,0.34299999999999997,0.316,0.41700000000000004,0.32899999999999996,0.381,0.39399999999999996,0.3719,0.03507549001795985
rico_23_seq2seq_23_cat_0.3,0.397,0.42,0.42,0.39299999999999996,0.44299999999999995,0.361,0.374,0.361,0.441,0.436,0.4046,0.03031567251439426
rico_23_seq2seq_23_cat_0.4,0.376,0.39299999999999996,0.41600000000000004,0.326,0.386,0.314,0.456,0.397,0.36,0.40299999999999997,0.3827,0.039635968513460094
rico_23_seq2seq_23_cat_0.5,0.33299999999999996,0.466,0.483,0.40700000000000003,0.46,0.327,0.363,0.327,0.45899999999999996,0.46399999999999997,0.40890000000000004,0.06180202262062303
rico_23_seq2seq_23_cat_0.6,0.439,0.309,0.42,0.419,0.41600000000000004,0.406,0.324,0.39,0.429,0.354,0.3906,0.0433640404021581
rico_23_seq2seq_23_cat_0.7,0.374,0.511,0.43,0.45399999999999996,0.4,0.431,0.44,0.42,0.43700000000000006,0.39399999999999996,0.42910000000000004,0.03565234915121303
rico_23_seq2seq_23_cat_0.8,0.436,0.386,0.441,0.456,0.457,0.387,0.36700000000000005,0.384,0.433,0.46399999999999997,0.42110000000000003,0.034358259560111584
rico_23_seq2seq_23_cat_0.9,0.40299999999999997,0.42,0.307,0.439,0.344,0.461,0.41,0.35,0.317,0.369,0.382,0.049644737888320044
rico_23_seq2seq_tree_23_add_0.1,0.41100000000000003,0.439,0.419,0.374,0.386,0.424,0.369,0.366,0.376,0.381,0.3945,0.024904818810824545
rico_23_seq2seq_tree_23_add_0.2,0.373,0.386,0.366,0.374,0.38299999999999995,0.40299999999999997,0.431,0.387,0.456,0.379,0.39380000000000004,0.02716173779418394
rico_23_seq2seq_tree_23_add_0.3,0.35600000000000004,0.387,0.456,0.384,0.426,0.34700000000000003,0.474,0.396,0.41100000000000003,0.331,0.3968,0.04387892432592211
rico_23_seq2seq_tree_23_add_0.4,0.376,0.45399999999999996,0.43700000000000006,0.48100000000000004,0.34299999999999997,0.396,0.491,0.449,0.493,0.45299999999999996,0.4373,0.047868674516848696
