name,0,1,2,3,4,5,6,7,8,9,Mean_pk,Std_pk
rico,0.287,,,,,,,,,,0.287,0.0
seq2seq,0.389,0.331,0.366,0.426,0.366,0.306,0.35600000000000004,0.38299999999999995,0.376,0.36,0.36589999999999995,0.030787822267903258
transformer,0.326,0.38,0.40299999999999997,0.40700000000000003,0.431,0.39299999999999996,0.449,0.426,0.361,0.301,0.3877,0.04453100043789719
transformer_mean,0.391,0.293,0.47100000000000003,0.433,0.46,0.39,0.386,0.293,0.439,0.436,0.39920000000000005,0.059846136049038295
conv_se,0.32,0.434,0.39399999999999996,0.297,0.396,0.43700000000000006,0.39299999999999996,0.451,0.374,0.43700000000000006,0.3933,0.04881813187740802
conv_re,0.309,0.249,0.26899999999999996,0.231,0.276,0.239,0.249,0.304,0.23,0.28300000000000003,0.26389999999999997,0.027340263349134003
rico_seq2seq_add,0.419,0.364,0.39299999999999996,0.373,0.433,0.387,0.33299999999999996,0.363,0.45899999999999996,0.406,0.393,0.035465476170495724
rico_transformer_add,0.406,0.364,0.41700000000000004,0.456,0.40700000000000003,0.469,0.467,0.501,0.446,0.42,0.43529999999999996,0.03783133621747981
rico_transformer_mean_add,0.456,0.479,0.47,0.491,0.414,0.366,0.451,0.5,0.41600000000000004,0.46,0.45030000000000003,0.03881507439127226
conv_re_conv_se_add,0.387,0.27899999999999997,0.4,0.353,0.341,0.256,0.33299999999999996,0.379,0.359,0.32899999999999996,0.3416,0.04333866633850193
rico_seq2seq_cat,0.39299999999999996,0.39399999999999996,0.44,0.496,0.36700000000000005,0.337,0.446,0.41700000000000004,0.40700000000000003,0.40700000000000003,0.4104,0.04168980690768428
rico_transformer_cat,0.501,0.413,0.39299999999999996,0.409,0.45399999999999996,0.41700000000000004,0.43,0.35600000000000004,0.47600000000000003,0.371,0.422,0.04279953270772942
rico_transformer_mean_cat,0.503,0.361,0.457,0.449,0.494,0.439,0.439,0.45399999999999996,0.48,0.39899999999999997,0.44750000000000006,0.0405123437979093
conv_re_conv_se_cat,0.344,0.3,0.373,0.33399999999999996,0.321,0.226,0.33,0.34600000000000003,0.373,0.344,0.3291,0.040188182342574284
rico_conv_se_add,0.441,0.4,0.413,0.413,0.40399999999999997,0.423,0.489,0.484,0.434,0.381,0.4282,0.0333250656413457
seq2seq_conv_se_add,0.376,0.349,0.371,0.39299999999999996,0.41600000000000004,0.40299999999999997,0.486,0.374,0.424,0.46299999999999997,0.4055000000000001,0.040800122548835555
transformer_conv_se_add,0.409,0.376,0.413,0.35700000000000004,0.43,0.39,0.48700000000000004,0.431,0.43700000000000006,0.40399999999999997,0.41340000000000005,0.03434297599218799
transformer_mean_conv_se_add,0.409,0.4,0.413,0.35700000000000004,0.43,0.434,0.48700000000000004,0.484,0.43700000000000006,0.43,0.4281,0.03626692708239836
rico_conv_se_cat,0.409,0.4,0.413,0.41100000000000003,0.369,0.39,0.48700000000000004,0.484,0.424,0.43,0.42169999999999996,0.03581075257516938
seq2seq_conv_se_cat,0.409,0.423,0.413,0.41100000000000003,0.369,0.39,0.48700000000000004,0.45299999999999996,0.43700000000000006,0.40399999999999997,0.4196,0.03143628476776479
transformer_conv_se_cat,0.409,0.4,0.413,0.41100000000000003,0.369,0.39,0.48700000000000004,0.484,0.374,0.43,0.41669999999999996,0.0385280417358578
transformer_mean_conv_se_cat,0.409,0.4,0.413,0.41100000000000003,0.376,0.39,0.48700000000000004,0.484,0.424,0.43,0.4224,0.034828723777939385
rico_conv_re_add,0.27,0.2,0.27399999999999997,0.317,0.27399999999999997,0.226,0.297,0.214,0.21899999999999997,0.24600000000000002,0.2537,0.03669073452521767
seq2seq_conv_re_add,0.33299999999999996,0.2,0.273,0.326,0.217,0.226,0.253,0.207,0.231,0.28300000000000003,0.25489999999999996,0.045196128152752195
transformer_conv_re_add,0.324,0.2,0.21600000000000003,0.311,0.249,0.226,0.28600000000000003,0.217,0.21899999999999997,0.26899999999999996,0.2517,0.04136193902611433
transformer_mean_conv_re_add,0.324,0.2,0.26899999999999996,0.311,0.249,0.226,0.28600000000000003,0.26899999999999996,0.21899999999999997,0.26899999999999996,0.2622,0.03758403916558198
rico_conv_re_cat,0.324,0.2,0.257,0.316,0.249,0.226,0.233,0.217,0.294,0.31,0.26260000000000006,0.0427602619262324
seq2seq_conv_re_cat,0.33299999999999996,0.2,0.257,0.316,0.27899999999999997,0.226,0.233,0.251,0.294,0.31,0.2699,0.041324205981482565
transformer_conv_re_cat,0.324,0.2,0.257,0.316,0.249,0.226,0.233,0.217,0.294,0.31,0.26260000000000006,0.0427602619262324
transformer_mean_conv_re_cat,0.324,0.2,0.257,0.316,0.249,0.226,0.233,0.217,0.294,0.31,0.26260000000000006,0.0427602619262324
