List,gaussian_mixture,kmeans
r31,66.7%,66.7%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,25.7%,28.6%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,71.4%,71.4%
r6,91.4%,91.4%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,12.5%,17.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,0.0%,26.7%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,0.0%,0.0%
r11,42.2%,33.3%
r27,96.0%,96.0%
r5,50.0%,50.0%
r17,13.3%,0.0%
r19,0.0%,0.0%
r8,0.0%,0.0%
r1,70.0%,70.0%
r30,6.7%,0.0%
r22,2.4%,0.0%
r26,0.0%,40.0%
r9,0.0%,100.0%
r14,17.8%,55.6%
r2,85.0%,85.0%
r20,57.5%,45.0%
r15,56.7%,70.0%
Total,42.6%,47.4%
