List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,22.9%,34.3%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,97.1%,97.1%
r6,91.4%,91.4%
r29,94.2%,94.2%
r3,0.0%,0.0%
r24,25.0%,25.0%
r32,0.0%,96.7%
r16,43.3%,46.7%
r28,100.0%,95.6%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,40.0%,30.0%
r11,20.0%,31.1%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,0.0%,10.0%
r19,0.0%,0.0%
r8,83.3%,83.3%
r1,13.3%,0.0%
r30,26.7%,46.7%
r22,0.0%,4.8%
r26,60.0%,60.0%
r9,0.0%,0.0%
r14,31.1%,0.0%
r2,52.5%,52.5%
r20,75.0%,0.0%
r15,83.3%,83.3%
Total,46.8%,46.4%
