List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,20.0%,25.7%
r4,0.0%,20.0%
r33,100.0%,100.0%
r12,40.0%,20.0%
r13,97.1%,97.1%
r6,0.0%,91.4%
r29,96.2%,9.6%
r3,0.0%,0.0%
r24,17.5%,17.5%
r32,100.0%,100.0%
r16,43.3%,6.7%
r28,42.2%,66.7%
r25,83.3%,83.3%
r23,5.6%,16.7%
r18,0.0%,6.7%
r11,31.1%,42.2%
r27,96.0%,96.0%
r5,30.0%,20.0%
r17,0.0%,13.3%
r19,0.0%,0.0%
r8,3.3%,76.7%
r1,83.3%,0.0%
r30,30.0%,3.3%
r22,7.1%,0.0%
r26,40.0%,0.0%
r9,100.0%,100.0%
r14,42.2%,31.1%
r2,95.0%,97.5%
r20,0.0%,0.0%
r15,0.0%,0.0%
Total,42.9%,37.6%
