List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,23.3%
r10,0.0%,0.0%
r21,0.0%,75.0%
r34,25.7%,20.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,0.0%,36.7%
r13,91.4%,97.1%
r6,94.3%,97.1%
r29,96.2%,100.0%
r3,0.0%,0.0%
r24,15.0%,17.5%
r32,100.0%,100.0%
r16,40.0%,33.3%
r28,91.1%,97.8%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,26.7%,43.3%
r11,22.2%,73.3%
r27,100.0%,100.0%
r5,0.0%,0.0%
r17,26.7%,0.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,83.3%,83.3%
r30,0.0%,0.0%
r22,2.4%,0.0%
r26,0.0%,60.0%
r9,100.0%,100.0%
r14,33.3%,0.0%
r2,95.0%,95.0%
r20,45.0%,42.5%
r15,70.0%,70.0%
Total,49.5%,52.9%
