List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,8.6%,31.4%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,97.1%,97.1%
r6,91.4%,91.4%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,0.0%,12.5%
r32,0.0%,0.0%
r16,43.3%,36.7%
r28,95.6%,66.7%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,16.7%,16.7%
r11,73.3%,73.3%
r27,96.0%,0.0%
r5,35.0%,35.0%
r17,16.7%,13.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,0.0%,86.7%
r30,0.0%,0.0%
r22,4.8%,4.8%
r26,40.0%,0.0%
r9,100.0%,100.0%
r14,8.9%,0.0%
r2,45.0%,95.0%
r20,50.0%,20.0%
r15,20.0%,20.0%
Total,43.3%,43.0%
