List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,17.1%,22.9%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,0.0%,6.7%
r13,91.4%,91.4%
r6,91.4%,91.4%
r29,94.2%,94.2%
r3,0.0%,0.0%
r24,0.0%,0.0%
r32,100.0%,100.0%
r16,0.0%,26.7%
r28,71.1%,71.1%
r25,83.3%,83.3%
r23,5.6%,0.0%
r18,0.0%,0.0%
r11,73.3%,42.2%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,6.7%,16.7%
r19,0.0%,0.0%
r8,80.0%,76.7%
r1,70.0%,13.3%
r30,3.3%,23.3%
r22,40.5%,40.5%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,8.9%,0.0%
r2,32.5%,0.0%
r20,42.5%,42.5%
r15,73.3%,63.3%
Total,47.1%,43.9%
