List,gaussian_mixture,kmeans
r31,0.0%,66.7%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,28.6%,37.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,0.0%,91.4%
r6,94.3%,91.4%
r29,96.2%,96.2%
r3,0.0%,0.0%
r24,5.0%,5.0%
r32,76.7%,76.7%
r16,43.3%,33.3%
r28,71.1%,71.1%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,30.0%,26.7%
r11,55.6%,73.3%
r27,100.0%,96.0%
r5,50.0%,0.0%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,63.3%,63.3%
r1,70.0%,70.0%
r30,0.0%,0.0%
r22,4.8%,0.0%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,0.0%,0.0%
r2,95.0%,95.0%
r20,42.5%,42.5%
r15,96.7%,90.0%
Total,49.1%,50.8%
