List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,28.6%,28.6%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,97.1%,97.1%
r6,91.4%,91.4%
r29,96.2%,96.2%
r3,0.0%,0.0%
r24,5.0%,15.0%
r32,0.0%,0.0%
r16,36.7%,40.0%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,22.2%,0.0%
r18,23.3%,3.3%
r11,31.1%,20.0%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,26.7%,26.7%
r19,0.0%,0.0%
r8,0.0%,80.0%
r1,0.0%,0.0%
r30,0.0%,0.0%
r22,0.0%,7.1%
r26,60.0%,60.0%
r9,100.0%,100.0%
r14,0.0%,0.0%
r2,97.5%,97.5%
r20,45.0%,42.5%
r15,90.0%,90.0%
Total,45.7%,47.3%
