List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,0.0%,0.0%
r4,0.0%,0.0%
r33,0.0%,100.0%
r12,0.0%,0.0%
r13,91.4%,91.4%
r6,91.4%,91.4%
r29,84.6%,84.6%
r3,0.0%,0.0%
r24,17.5%,17.5%
r32,100.0%,100.0%
r16,26.7%,30.0%
r28,100.0%,71.1%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,20.0%,20.0%
r11,73.3%,73.3%
r27,96.0%,96.0%
r5,35.0%,27.5%
r17,0.0%,26.7%
r19,0.0%,0.0%
r8,86.7%,86.7%
r1,83.3%,83.3%
r30,13.3%,0.0%
r22,0.0%,28.6%
r26,40.0%,0.0%
r9,100.0%,100.0%
r14,13.3%,13.3%
r2,35.0%,32.5%
r20,50.0%,0.0%
r15,66.7%,63.3%
Total,47.2%,48.0%
