List,gaussian_mixture,kmeans
r31,0.0%,66.7%
r7,23.3%,76.7%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,40.0%,22.9%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,0.0%,0.0%
r13,91.4%,91.4%
r6,91.4%,91.4%
r29,30.8%,63.5%
r3,0.0%,0.0%
r24,22.5%,22.5%
r32,100.0%,100.0%
r16,33.3%,26.7%
r28,97.8%,97.8%
r25,83.3%,83.3%
r23,11.1%,0.0%
r18,36.7%,36.7%
r11,0.0%,0.0%
r27,96.0%,96.0%
r5,32.5%,0.0%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,70.0%
r30,16.7%,20.0%
r22,28.6%,28.6%
r26,0.0%,0.0%
r9,0.0%,100.0%
r14,6.7%,0.0%
r2,35.0%,35.0%
r20,75.0%,75.0%
r15,66.7%,13.3%
Total,43.3%,45.2%
