List,gaussian_mixture,kmeans
r31,16.7%,16.7%
r7,76.7%,76.7%
r10,20.0%,40.0%
r21,0.0%,75.0%
r34,8.6%,57.1%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,13.3%
r13,97.1%,97.1%
r6,71.4%,68.6%
r29,100.0%,100.0%
r3,13.3%,6.7%
r24,30.0%,2.5%
r32,100.0%,100.0%
r16,30.0%,30.0%
r28,24.4%,24.4%
r25,83.3%,83.3%
r23,11.1%,5.6%
r18,16.7%,3.3%
r11,22.2%,31.1%
r27,96.0%,0.0%
r5,7.5%,7.5%
r17,6.7%,16.7%
r19,0.0%,0.0%
r8,83.3%,83.3%
r1,70.0%,70.0%
r30,13.3%,16.7%
r22,2.4%,2.4%
r26,60.0%,0.0%
r9,0.0%,100.0%
r14,2.2%,2.2%
r2,35.0%,50.0%
r20,0.0%,20.0%
r15,0.0%,0.0%
Total,39.7%,40.5%
