List,gaussian_mixture,kmeans
r31,16.7%,83.3%
r7,76.7%,76.7%
r10,40.0%,0.0%
r21,75.0%,75.0%
r34,20.0%,20.0%
r4,30.0%,30.0%
r33,100.0%,0.0%
r12,40.0%,40.0%
r13,97.1%,97.1%
r6,91.4%,91.4%
r29,80.8%,80.8%
r3,6.7%,6.7%
r24,7.5%,7.5%
r32,96.7%,96.7%
r16,13.3%,13.3%
r28,100.0%,91.1%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,23.3%,23.3%
r11,31.1%,6.7%
r27,96.0%,96.0%
r5,5.0%,5.0%
r17,26.7%,3.3%
r19,0.0%,0.0%
r8,73.3%,3.3%
r1,13.3%,70.0%
r30,6.7%,13.3%
r22,19.0%,19.0%
r26,60.0%,40.0%
r9,100.0%,100.0%
r14,2.2%,0.0%
r2,0.0%,2.5%
r20,5.0%,5.0%
r15,90.0%,0.0%
Total,45.6%,36.9%
