List,gaussian_mixture,kmeans
r31,33.3%,0.0%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,25.0%
r34,8.6%,8.6%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,26.7%,30.0%
r13,51.4%,51.4%
r6,91.4%,91.4%
r29,94.2%,94.2%
r3,6.7%,0.0%
r24,27.5%,27.5%
r32,76.7%,76.7%
r16,0.0%,0.0%
r28,24.4%,28.9%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,0.0%,0.0%
r11,24.4%,24.4%
r27,96.0%,96.0%
r5,42.5%,42.5%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,70.0%,3.3%
r1,0.0%,0.0%
r30,13.3%,16.7%
r22,0.0%,26.2%
r26,0.0%,60.0%
r9,100.0%,100.0%
r14,8.9%,2.2%
r2,35.0%,32.5%
r20,42.5%,42.5%
r15,0.0%,0.0%
Total,35.2%,35.1%
