List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,0.0%,37.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,10.0%,40.0%
r13,97.1%,97.1%
r6,91.4%,91.4%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,12.5%,2.5%
r32,100.0%,100.0%
r16,46.7%,46.7%
r28,100.0%,93.3%
r25,83.3%,83.3%
r23,5.6%,0.0%
r18,16.7%,16.7%
r11,0.0%,31.1%
r27,96.0%,96.0%
r5,30.0%,0.0%
r17,23.3%,23.3%
r19,0.0%,0.0%
r8,86.7%,80.0%
r1,73.3%,70.0%
r30,0.0%,3.3%
r22,4.8%,0.0%
r26,0.0%,60.0%
r9,100.0%,0.0%
r14,0.0%,0.0%
r2,32.5%,32.5%
r20,0.0%,5.0%
r15,66.7%,86.7%
Total,43.0%,43.7%
