List,gaussian_mixture,kmeans
r31,100.0%,100.0%
r7,76.7%,0.0%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,20.0%,20.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,91.4%,91.4%
r6,91.4%,94.3%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,5.0%,2.5%
r32,80.0%,0.0%
r16,33.3%,33.3%
r28,77.8%,97.8%
r25,93.3%,86.7%
r23,0.0%,0.0%
r18,0.0%,13.3%
r11,31.1%,31.1%
r27,96.0%,100.0%
r5,27.5%,0.0%
r17,13.3%,6.7%
r19,0.0%,0.0%
r8,0.0%,66.7%
r1,66.7%,66.7%
r30,0.0%,0.0%
r22,0.0%,2.4%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,0.0%,28.9%
r2,100.0%,100.0%
r20,0.0%,0.0%
r15,63.3%,0.0%
Total,45.3%,42.0%
