List,gaussian_mixture,kmeans
r31,0.0%,83.3%
r7,100.0%,0.0%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,20.0%,20.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,91.4%,91.4%
r6,91.4%,94.3%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,5.0%,2.5%
r32,0.0%,80.0%
r16,33.3%,33.3%
r28,97.8%,77.8%
r25,93.3%,93.3%
r23,11.1%,16.7%
r18,13.3%,13.3%
r11,55.6%,55.6%
r27,96.0%,96.0%
r5,27.5%,27.5%
r17,3.3%,6.7%
r19,0.0%,0.0%
r8,0.0%,0.0%
r1,0.0%,66.7%
r30,0.0%,0.0%
r22,2.4%,0.0%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,20.0%,0.0%
r2,100.0%,100.0%
r20,42.5%,0.0%
r15,0.0%,0.0%
Total,44.1%,42.6%
