List,gaussian_mixture,kmeans
r31,0.0%,16.7%
r7,23.3%,76.7%
r10,0.0%,0.0%
r21,0.0%,75.0%
r34,11.4%,54.3%
r4,10.0%,20.0%
r33,100.0%,100.0%
r12,40.0%,3.3%
r13,14.3%,5.7%
r6,5.7%,91.4%
r29,90.4%,90.4%
r3,13.3%,13.3%
r24,15.0%,15.0%
r32,80.0%,80.0%
r16,36.7%,40.0%
r28,100.0%,28.9%
r25,83.3%,83.3%
r23,11.1%,5.6%
r18,3.3%,6.7%
r11,42.2%,42.2%
r27,100.0%,100.0%
r5,2.5%,2.5%
r17,13.3%,10.0%
r19,0.0%,0.0%
r8,60.0%,20.0%
r1,0.0%,66.7%
r30,10.0%,10.0%
r22,2.4%,4.8%
r26,40.0%,60.0%
r9,100.0%,100.0%
r14,22.2%,15.6%
r2,42.5%,42.5%
r20,20.0%,45.0%
r15,0.0%,0.0%
Total,36.3%,40.5%
