List,gaussian_mixture,kmeans
r31,100.0%,100.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,77.1%,22.9%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,6.7%,40.0%
r13,71.4%,88.6%
r6,91.4%,91.4%
r29,100.0%,100.0%
r3,13.3%,13.3%
r24,2.5%,12.5%
r32,96.7%,96.7%
r16,23.3%,26.7%
r28,68.9%,48.9%
r25,83.3%,83.3%
r23,22.2%,22.2%
r18,3.3%,13.3%
r11,22.2%,22.2%
r27,96.0%,28.0%
r5,5.0%,2.5%
r17,6.7%,6.7%
r19,0.0%,100.0%
r8,0.0%,3.3%
r1,70.0%,70.0%
r30,3.3%,0.0%
r22,11.9%,11.9%
r26,40.0%,60.0%
r9,0.0%,0.0%
r14,13.3%,6.7%
r2,75.0%,40.0%
r20,12.5%,42.5%
r15,60.0%,60.0%
Total,43.8%,43.2%
