List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,0.0%,0.0%
r10,0.0%,40.0%
r21,0.0%,0.0%
r34,0.0%,62.9%
r4,30.0%,0.0%
r33,100.0%,100.0%
r12,3.3%,0.0%
r13,0.0%,5.7%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,20.0%,25.0%
r32,100.0%,100.0%
r16,3.3%,3.3%
r28,24.4%,75.6%
r25,43.3%,3.3%
r23,5.6%,0.0%
r18,30.0%,10.0%
r11,13.3%,15.6%
r27,96.0%,96.0%
r5,5.0%,2.5%
r17,3.3%,3.3%
r19,0.0%,100.0%
r8,93.3%,0.0%
r1,0.0%,0.0%
r30,30.0%,26.7%
r22,2.4%,9.5%
r26,13.3%,6.7%
r9,9.1%,0.0%
r14,40.0%,26.7%
r2,2.5%,0.0%
r20,10.0%,15.0%
r15,26.7%,26.7%
Total,27.3%,28.4%
