List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,73.3%,73.3%
r10,40.0%,0.0%
r21,0.0%,0.0%
r34,22.9%,60.0%
r4,30.0%,10.0%
r33,0.0%,100.0%
r12,0.0%,0.0%
r13,40.0%,54.3%
r6,5.7%,37.1%
r29,0.0%,100.0%
r3,13.3%,6.7%
r24,2.5%,10.0%
r32,96.7%,0.0%
r16,6.7%,0.0%
r28,33.3%,42.2%
r25,3.3%,66.7%
r23,0.0%,16.7%
r18,6.7%,10.0%
r11,73.3%,73.3%
r27,96.0%,96.0%
r5,2.5%,12.5%
r17,36.7%,0.0%
r19,0.0%,0.0%
r8,3.3%,36.7%
r1,6.7%,73.3%
r30,40.0%,3.3%
r22,4.8%,9.5%
r26,40.0%,0.0%
r9,95.5%,0.0%
r14,0.0%,8.9%
r2,35.0%,60.0%
r20,72.5%,70.0%
r15,0.0%,40.0%
Total,25.9%,38.1%
