List,gaussian_mixture,kmeans
r31,16.7%,33.3%
r7,100.0%,100.0%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,28.6%,57.1%
r4,0.0%,0.0%
r33,100.0%,0.0%
r12,0.0%,40.0%
r13,34.3%,11.4%
r6,0.0%,0.0%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,7.5%,2.5%
r32,100.0%,100.0%
r16,6.7%,6.7%
r28,33.3%,33.3%
r25,26.7%,50.0%
r23,0.0%,5.6%
r18,23.3%,26.7%
r11,8.9%,20.0%
r27,96.0%,96.0%
r5,5.0%,5.0%
r17,0.0%,0.0%
r19,100.0%,0.0%
r8,83.3%,83.3%
r1,66.7%,26.7%
r30,10.0%,6.7%
r22,0.0%,2.4%
r26,6.7%,20.0%
r9,27.3%,9.1%
r14,57.8%,60.0%
r2,50.0%,27.5%
r20,15.0%,42.5%
r15,26.7%,0.0%
Total,33.4%,28.9%
