List,gaussian_mixture,kmeans
r31,0.0%,66.7%
r7,100.0%,0.0%
r10,40.0%,0.0%
r21,0.0%,0.0%
r34,57.1%,57.1%
r4,0.0%,10.0%
r33,100.0%,0.0%
r12,10.0%,16.7%
r13,5.7%,11.4%
r6,97.1%,97.1%
r29,13.5%,0.0%
r3,80.0%,73.3%
r24,7.5%,2.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,42.2%,33.3%
r25,23.3%,23.3%
r23,0.0%,0.0%
r18,23.3%,26.7%
r11,15.6%,11.1%
r27,96.0%,96.0%
r5,27.5%,25.0%
r17,53.3%,50.0%
r19,100.0%,100.0%
r8,93.3%,0.0%
r1,0.0%,60.0%
r30,0.0%,3.3%
r22,0.0%,14.3%
r26,20.0%,0.0%
r9,4.5%,13.6%
r14,57.8%,60.0%
r2,2.5%,17.5%
r20,12.5%,62.5%
r15,26.7%,26.7%
Total,35.8%,30.6%
