List,gaussian_mixture,kmeans
r31,33.3%,33.3%
r7,100.0%,100.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,57.1%,57.1%
r4,20.0%,30.0%
r33,0.0%,100.0%
r12,16.7%,0.0%
r13,28.6%,37.1%
r6,0.0%,0.0%
r29,13.5%,86.5%
r3,73.3%,80.0%
r24,2.5%,15.0%
r32,100.0%,0.0%
r16,46.7%,0.0%
r28,42.2%,24.4%
r25,13.3%,0.0%
r23,0.0%,22.2%
r18,3.3%,3.3%
r11,26.7%,15.6%
r27,96.0%,96.0%
r5,25.0%,25.0%
r17,3.3%,60.0%
r19,0.0%,0.0%
r8,93.3%,0.0%
r1,70.0%,0.0%
r30,6.7%,6.7%
r22,0.0%,4.8%
r26,20.0%,6.7%
r9,31.8%,31.8%
r14,60.0%,64.4%
r2,20.0%,20.0%
r20,35.0%,40.0%
r15,0.0%,0.0%
Total,31.3%,30.6%
