List,gaussian_mixture,kmeans
r31,33.3%,33.3%
r7,0.0%,0.0%
r10,20.0%,0.0%
r21,25.0%,75.0%
r34,31.4%,57.1%
r4,0.0%,0.0%
r33,85.7%,0.0%
r12,0.0%,40.0%
r13,45.7%,42.9%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,0.0%,86.7%
r24,27.5%,2.5%
r32,100.0%,100.0%
r16,76.7%,0.0%
r28,24.4%,42.2%
r25,6.7%,3.3%
r23,0.0%,11.1%
r18,3.3%,10.0%
r11,4.4%,17.8%
r27,96.0%,96.0%
r5,2.5%,2.5%
r17,0.0%,0.0%
r19,100.0%,0.0%
r8,0.0%,0.0%
r1,60.0%,0.0%
r30,6.7%,36.7%
r22,2.4%,7.1%
r26,20.0%,13.3%
r9,13.6%,13.6%
r14,53.3%,4.4%
r2,40.0%,47.5%
r20,20.0%,37.5%
r15,0.0%,0.0%
Total,30.0%,25.3%
