List,gaussian_mixture,kmeans
r31,66.7%,0.0%
r7,76.7%,23.3%
r10,40.0%,40.0%
r21,0.0%,100.0%
r34,65.7%,65.7%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,3.3%
r13,54.3%,40.0%
r6,94.3%,45.7%
r29,50.0%,5.8%
r3,6.7%,13.3%
r24,17.5%,12.5%
r32,100.0%,96.7%
r16,40.0%,46.7%
r28,42.2%,57.8%
r25,83.3%,83.3%
r23,5.6%,11.1%
r18,23.3%,20.0%
r11,48.9%,24.4%
r27,96.0%,96.0%
r5,42.5%,42.5%
r17,13.3%,3.3%
r19,0.0%,0.0%
r8,3.3%,80.0%
r1,70.0%,70.0%
r30,20.0%,26.7%
r22,11.9%,2.4%
r26,40.0%,60.0%
r9,100.0%,0.0%
r14,26.7%,46.7%
r2,52.5%,45.0%
r20,72.5%,5.0%
r15,0.0%,0.0%
Total,46.9%,37.6%
