List,gaussian_mixture,kmeans
r31,16.7%,16.7%
r7,76.7%,73.3%
r10,40.0%,20.0%
r21,0.0%,0.0%
r34,57.1%,45.7%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,57.1%,40.0%
r6,31.4%,42.9%
r29,21.2%,36.5%
r3,6.7%,13.3%
r24,2.5%,15.0%
r32,96.7%,96.7%
r16,33.3%,36.7%
r28,42.2%,42.2%
r25,83.3%,83.3%
r23,5.6%,22.2%
r18,23.3%,6.7%
r11,31.1%,42.2%
r27,4.0%,96.0%
r5,42.5%,25.0%
r17,13.3%,6.7%
r19,100.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,70.0%
r30,6.7%,23.3%
r22,4.8%,11.9%
r26,60.0%,0.0%
r9,100.0%,0.0%
r14,31.1%,0.0%
r2,22.5%,25.0%
r20,72.5%,75.0%
r15,56.7%,13.3%
Total,43.1%,39.0%
