List,gaussian_mixture,kmeans
r31,0.0%,16.7%
r7,73.3%,73.3%
r10,40.0%,40.0%
r21,0.0%,0.0%
r34,8.6%,68.6%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,0.0%,3.3%
r13,94.3%,54.3%
r6,51.4%,22.9%
r29,13.5%,86.5%
r3,6.7%,13.3%
r24,35.0%,5.0%
r32,96.7%,96.7%
r16,20.0%,3.3%
r28,24.4%,24.4%
r25,80.0%,80.0%
r23,22.2%,5.6%
r18,10.0%,23.3%
r11,0.0%,73.3%
r27,96.0%,0.0%
r5,25.0%,10.0%
r17,3.3%,36.7%
r19,0.0%,0.0%
r8,43.3%,80.0%
r1,93.3%,73.3%
r30,40.0%,23.3%
r22,2.4%,4.8%
r26,0.0%,0.0%
r9,0.0%,95.5%
r14,11.1%,15.6%
r2,0.0%,0.0%
r20,0.0%,0.0%
r15,20.0%,0.0%
Total,31.2%,36.6%
