List,gaussian_mixture,kmeans
r31,0.0%,50.0%
r7,73.3%,26.7%
r10,20.0%,0.0%
r21,0.0%,100.0%
r34,65.7%,68.6%
r4,0.0%,0.0%
r33,0.0%,100.0%
r12,40.0%,3.3%
r13,40.0%,40.0%
r6,40.0%,20.0%
r29,90.4%,90.4%
r3,13.3%,6.7%
r24,12.5%,2.5%
r32,96.7%,96.7%
r16,13.3%,46.7%
r28,75.6%,33.3%
r25,80.0%,80.0%
r23,5.6%,22.2%
r18,23.3%,30.0%
r11,24.4%,42.2%
r27,4.0%,96.0%
r5,25.0%,22.5%
r17,36.7%,16.7%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,90.0%,26.7%
r30,3.3%,0.0%
r22,2.4%,4.8%
r26,100.0%,40.0%
r9,100.0%,100.0%
r14,44.4%,11.1%
r2,42.5%,0.0%
r20,20.0%,20.0%
r15,0.0%,80.0%
Total,40.7%,40.0%
