List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,26.7%,73.3%
r10,0.0%,40.0%
r21,75.0%,75.0%
r34,22.9%,5.7%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,94.3%,94.3%
r6,37.1%,5.7%
r29,0.0%,100.0%
r3,6.7%,6.7%
r24,15.0%,12.5%
r32,0.0%,0.0%
r16,33.3%,46.7%
r28,57.8%,57.8%
r25,83.3%,83.3%
r23,5.6%,5.6%
r18,23.3%,23.3%
r11,73.3%,73.3%
r27,96.0%,0.0%
r5,25.0%,55.0%
r17,10.0%,30.0%
r19,0.0%,0.0%
r8,0.0%,83.3%
r1,0.0%,96.7%
r30,20.0%,0.0%
r22,9.5%,11.9%
r26,60.0%,0.0%
r9,100.0%,100.0%
r14,62.2%,64.4%
r2,60.0%,60.0%
r20,20.0%,0.0%
r15,93.3%,93.3%
Total,39.2%,47.2%
