List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,26.7%
r10,40.0%,40.0%
r21,75.0%,75.0%
r34,2.9%,0.0%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,13.3%
r13,94.3%,94.3%
r6,37.1%,91.4%
r29,100.0%,0.0%
r3,20.0%,13.3%
r24,10.0%,2.5%
r32,0.0%,0.0%
r16,46.7%,46.7%
r28,42.2%,57.8%
r25,83.3%,6.7%
r23,5.6%,5.6%
r18,20.0%,10.0%
r11,0.0%,2.2%
r27,96.0%,0.0%
r5,55.0%,55.0%
r17,0.0%,20.0%
r19,0.0%,0.0%
r8,80.0%,83.3%
r1,0.0%,96.7%
r30,6.7%,20.0%
r22,2.4%,0.0%
r26,40.0%,40.0%
r9,100.0%,100.0%
r14,51.1%,57.8%
r2,60.0%,60.0%
r20,75.0%,75.0%
r15,93.3%,93.3%
Total,44.0%,39.5%
