List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,100.0%,100.0%
r10,40.0%,0.0%
r21,75.0%,75.0%
r34,0.0%,0.0%
r4,10.0%,20.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,94.3%,94.3%
r6,2.9%,91.4%
r29,90.4%,100.0%
r3,20.0%,6.7%
r24,7.5%,5.0%
r32,0.0%,0.0%
r16,46.7%,3.3%
r28,100.0%,42.2%
r25,6.7%,83.3%
r23,5.6%,5.6%
r18,13.3%,20.0%
r11,0.0%,73.3%
r27,4.0%,96.0%
r5,55.0%,25.0%
r17,3.3%,3.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,0.0%,0.0%
r30,23.3%,13.3%
r22,14.3%,11.9%
r26,40.0%,60.0%
r9,0.0%,100.0%
r14,37.8%,6.7%
r2,60.0%,60.0%
r20,75.0%,20.0%
r15,0.0%,0.0%
Total,37.7%,42.4%
