List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,26.7%,26.7%
r10,20.0%,60.0%
r21,0.0%,0.0%
r34,57.1%,65.7%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,50.0%,23.3%
r13,94.3%,40.0%
r6,22.9%,51.4%
r29,86.5%,100.0%
r3,6.7%,6.7%
r24,10.0%,12.5%
r32,100.0%,96.7%
r16,3.3%,53.3%
r28,33.3%,33.3%
r25,0.0%,80.0%
r23,5.6%,11.1%
r18,13.3%,10.0%
r11,24.4%,20.0%
r27,96.0%,96.0%
r5,25.0%,25.0%
r17,0.0%,3.3%
r19,82.4%,100.0%
r8,80.0%,80.0%
r1,93.3%,93.3%
r30,10.0%,26.7%
r22,4.8%,4.8%
r26,0.0%,40.0%
r9,0.0%,95.5%
r14,22.2%,6.7%
r2,95.0%,35.0%
r20,72.5%,72.5%
r15,43.3%,0.0%
Total,42.8%,45.1%
