List,gaussian_mixture,kmeans
r31,16.7%,33.3%
r7,0.0%,0.0%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,11.4%,57.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,3.3%,40.0%
r13,11.4%,45.7%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,6.7%,73.3%
r24,2.5%,2.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,42.2%,24.4%
r25,3.3%,10.0%
r23,0.0%,0.0%
r18,10.0%,20.0%
r11,2.2%,13.3%
r27,96.0%,96.0%
r5,62.5%,62.5%
r17,6.7%,0.0%
r19,0.0%,0.0%
r8,0.0%,93.3%
r1,70.0%,0.0%
r30,13.3%,13.3%
r22,16.7%,11.9%
r26,6.7%,20.0%
r9,0.0%,9.1%
r14,64.4%,66.7%
r2,45.0%,2.5%
r20,40.0%,50.0%
r15,26.7%,30.0%
Total,29.8%,34.5%
