List,gaussian_mixture,kmeans
r31,50.0%,33.3%
r7,76.7%,76.7%
r10,0.0%,20.0%
r21,100.0%,0.0%
r34,60.0%,31.4%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,0.0%,40.0%
r13,42.9%,40.0%
r6,97.1%,97.1%
r29,0.0%,51.9%
r3,13.3%,0.0%
r24,7.5%,10.0%
r32,100.0%,100.0%
r16,40.0%,46.7%
r28,33.3%,75.6%
r25,73.3%,73.3%
r23,0.0%,0.0%
r18,20.0%,20.0%
r11,31.1%,15.6%
r27,96.0%,96.0%
r5,27.5%,27.5%
r17,50.0%,50.0%
r19,100.0%,0.0%
r8,86.7%,0.0%
r1,60.0%,0.0%
r30,13.3%,13.3%
r22,9.5%,9.5%
r26,20.0%,20.0%
r9,36.4%,63.6%
r14,68.9%,60.0%
r2,17.5%,35.0%
r20,77.5%,67.5%
r15,30.0%,0.0%
Total,45.1%,42.0%
