List,gaussian_mixture,kmeans
r31,16.7%,50.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,31.4%,2.9%
r4,0.0%,30.0%
r33,100.0%,0.0%
r12,16.7%,40.0%
r13,17.1%,31.4%
r6,97.1%,97.1%
r29,13.5%,86.5%
r3,46.7%,46.7%
r24,10.0%,7.5%
r32,100.0%,100.0%
r16,40.0%,0.0%
r28,33.3%,24.4%
r25,23.3%,80.0%
r23,11.1%,0.0%
r18,20.0%,26.7%
r11,37.8%,40.0%
r27,96.0%,96.0%
r5,5.0%,12.5%
r17,46.7%,30.0%
r19,0.0%,0.0%
r8,0.0%,0.0%
r1,0.0%,60.0%
r30,6.7%,46.7%
r22,2.4%,4.8%
r26,33.3%,0.0%
r9,0.0%,31.8%
r14,53.3%,13.3%
r2,0.0%,32.5%
r20,35.0%,62.5%
r15,30.0%,26.7%
Total,31.7%,36.4%
