List,gaussian_mixture,kmeans
r31,16.7%,33.3%
r7,76.7%,23.3%
r10,40.0%,40.0%
r21,0.0%,100.0%
r34,11.4%,40.0%
r4,10.0%,20.0%
r33,100.0%,100.0%
r12,40.0%,10.0%
r13,14.3%,40.0%
r6,91.4%,20.0%
r29,32.7%,32.7%
r3,6.7%,13.3%
r24,15.0%,2.5%
r32,96.7%,96.7%
r16,30.0%,36.7%
r28,33.3%,24.4%
r25,83.3%,0.0%
r23,11.1%,11.1%
r18,23.3%,16.7%
r11,20.0%,31.1%
r27,96.0%,96.0%
r5,25.0%,25.0%
r17,10.0%,6.7%
r19,0.0%,0.0%
r8,3.3%,83.3%
r1,70.0%,70.0%
r30,6.7%,13.3%
r22,4.8%,9.5%
r26,60.0%,60.0%
r9,100.0%,0.0%
r14,26.7%,44.4%
r2,42.5%,10.0%
r20,20.0%,47.5%
r15,16.7%,16.7%
Total,37.1%,33.3%
